Nome,Squadra,Ruolo,QtA,QtI,Diff
Svilar,Roma,P,19,18,1
Carnesecchi,Atalanta,P,16,16,0
Martinez Jo.,Inter,P,16,17,-1
Vicario,Juventus,P,16,16,0
Butez,Como,P,15,16,-1
Maignan,Milan,P,14,15,-1
Caprile,Cagliari,P,11,9,2
Mandas,Lazio,P,11,9,2
Skorupski,Bologna,P,10,10,0
De Gea,Fiorentina,P,10,13,-3
Meret,Napoli,P,10,11,-1
Perri,Torino,P,9,9,0
Falcone,Lecce,P,8,8,0
Okoye,Udinese,P,8,9,-1
Sanchez Ro.,Como,P,8,8,0
Bijlow,Genoa,P,7,8,-1
Palmisani,Frosinone,P,6,4,2
Daffara,Parma,P,6,7,-1
Muric,Sassuolo,P,6,7,-1
Milinkovic-Savic V.,Napoli,P,5,5,0
Stankovic F.,Venezia,P,5,6,-1
Thiam,Monza,P,4,5,-1
Corvi,Parma,P,3,1,2
Pessina Mas.,Bologna,P,2,1,1
Sportiello,Atalanta,P,1,1,0
Happonen,Bologna,P,1,1,0
Sherri,Cagliari,P,1,1,0
Tornqvist,Monza,P,1,1,0
Vigorito,Como,P,1,1,0
Christensen O.,Fiorentina,P,1,1,0
Lezzerini,Fiorentina,P,1,1,0
Desplanches,Frosinone,P,1,2,-1
Lolic,Frosinone,P,1,1,0
Sommariva,Genoa,P,1,1,0
Stolz,Genoa,P,1,1,0
Di Gennaro,Inter,P,1,1,0
Provedel,Inter,P,1,2,-1
Pinsoglio,Juventus,P,1,1,0
Motta,Lazio,P,1,1,0
Renzetti,Lazio,P,1,1,0
Terracciano,Milan,P,1,1,0
Torriani,Milan,P,1,1,0
Strajnar,Monza,P,1,1,0
Contini,Napoli,P,1,1,0
De Marzi,Roma,P,1,1,0
Gollini,Roma,P,1,1,0
Russo A.,Sassuolo,P,1,1,0
Turati,Sassuolo,P,1,1,0
Mascardi,Torino,P,1,1,0
Siviero,Torino,P,1,1,0
Padelli,Udinese,P,1,1,0
Grandi,Venezia,P,1,1,0
Pozzi,Venezia,P,1,1,0
Satalino,Sassuolo,P,1,1,0
Penev,Lecce,P,1,1,0
Pisseri,Frosinone,P,1,1,0
Radunovic,Cagliari,P,1,1,0
Montipò,Venezia,P,1,1,0
Bleve,Lecce,P,1,1,0
Grabara,Juventus,P,1,1,0
Mrozek,Udinese,P,1,1,0
Ghidotti,Parma,P,1,1,0
Pompei,Atalanta,P,1,1,0
Dimarco,Inter,D,30,32,-2
Wesley,Roma,D,18,17,1
Molina N.,Roma,D,18,18,0
Bremer,Juventus,D,16,15,1
Akanji,Inter,D,15,16,-1
Mancini,Roma,D,15,15,0
Bastoni,Inter,D,14,14,0
Rrahmani,Napoli,D,14,14,0
Kalulu,Juventus,D,13,13,0
Pavlovic,Milan,D,13,14,-1
Solet,Udinese,D,13,13,0
Ramon,Como,D,12,10,2
Bisseck,Inter,D,12,11,1
Stones,Inter,D,12,12,0
Gila,Milan,D,12,12,0
Di Lorenzo,Napoli,D,12,12,0
N'Dicka,Roma,D,12,13,-1
Hermoso,Roma,D,11,10,1
Spence,Inter,D,11,12,-1
Scalvini,Atalanta,D,10,10,0
Ostigard,Genoa,D,10,11,-1
Chalobah T.,Como,D,10,9,1
Dodò,Fiorentina,D,9,10,-1
Vasquez,Genoa,D,9,9,0
Carlos Augusto,Inter,D,9,7,2
Tiago Gabriel,Lecce,D,9,7,2
Mangas,Monza,D,9,6,3
Valeri,Parma,D,9,8,1
Kamara H.,Udinese,D,9,6,3
Couto,Como,D,9,8,1
Zappacosta,Atalanta,D,8,8,0
Lucumì,Juventus,D,8,8,0
Miranda J.,Bologna,D,8,8,0
Obert,Cagliari,D,8,7,1
Kaiki,Como,D,8,7,1
Dragusin,Fiorentina,D,8,8,0
Jimenez A.,Fiorentina,D,8,8,0
Cambiaso,Juventus,D,8,9,-1
Doekhi,Lazio,D,8,7,1
Bartesaghi,Milan,D,8,8,0
Spinazzola,Napoli,D,8,8,0
Delprato,Parma,D,8,8,0
Comuzzo,Torino,D,8,6,2
Vojvoda,Udinese,D,8,8,0
