Nome,Squadra,Ruolo,PG,MV,FM,FVM,Quotazione
Elmas,Atalanta,C,2,5.5,5.5,6,7
Cambiaghi,Bologna,C,3,6,5.83,6,8
Locatelli,Juventus,C,3,6.17,6.33,6,9
Valeri,Parma,D,3,6.17,6.17,6,9
Diego Carlos,Parma,D,1,5.5,5.5,6,8
Perri,Torino,P,1,5.5,4.5,6,9
Caprile,Cagliari,P,3,6.33,6,6,11
Camarda,Milan,A,0,0,0,5,4
Dia*,Lazio,A,2,6,6.25,5,0
Geubbels,Lecce,A,2,5.25,5.25,5,8
Nkunku*,Milan,A,0,0,0,5,0
Braganca,Torino,C,1,6,6,5,6
Monteiro J.,Lecce,C,1,5.5,5.5,5,7
Hutchinson,Milan,C,0,0,0,5,8
Fitz-Jim,Torino,C,3,6.17,6.17,5,6
Oulai,Fiorentina,C,3,5.67,5.67,5,6
Sucic P.,Inter,C,3,6.17,6.17,5,9
Ondrejka*,Parma,C,0,0,0,5,0
Konè I.,Sassuolo,C,0,0,0,5,8
Karlstrom,Udinese,C,3,6.67,7.5,5,8
Pierotti,Lecce,C,3,5.67,5.67,5,6
Ndour,Fiorentina,C,3,5.17,5.17,5,7
Pisilli,Roma,C,2,6.5,8,5,7
Frendrup,Genoa,C,3,5.67,5.67,5,7
Koopmeiners,Juventus,C,2,6.75,8.75,5,7
Basic,Venezia,C,2,5.75,5.75,5,6
Thuram K.,Juventus,C,0,0,0,5,9
Cancellieri,Lazio,C,3,5.83,5.67,5,9
Zalewski,Atalanta,C,3,6,6.33,5,7
Fagioli,Fiorentina,C,3,5.5,5.33,5,7
Pasalic,Atalanta,C,3,5.5,5.5,5,8
El Shaarawy,Genoa,C,0,0,0,5,7
Pellegrini Lo.,Roma,C,0,0,0,5,9
Sutalo J.,Lazio,D,0,0,0,5,6
Belghali,Torino,D,1,6.5,7.5,5,8
Idzes,Sassuolo,D,2,6,5.75,5,7
Delprato,Parma,D,3,6,5.83,5,8
Dodò,Fiorentina,D,1,5,5,5,9
Carlos Augusto,Inter,D,1,6.5,7.5,5,7
Dragusin,Fiorentina,D,3,4.5,4.67,5,7
Badiashile,Napoli,D,1,5,5,5,6
Zortea,Bologna,D,2,6,6,5,6
Mina,Cagliari,D,0,0,0,5,7
Romagnoli*,Lazio,D,0,0,0,5,0
Suzuki*,Parma,P,0,0,0,5,0
Zeballos,Monza,A,0,0,0,4,6
Bobcek,Frosinone,A,0,0,0,4,8
Mendy P.,Cagliari,A,3,6,6,4,5
Lang,Napoli,A,2,5.75,5.75,4,3
Bonny,Inter,A,1,6,6,4,7
Piotrowski,Udinese,C,2,6.25,7.5,4,6
Tourè I.,Monza,C,0,0,0,4,5
Bakola,Sassuolo,C,2,6,6,4,6
Perez K.,Venezia,C,3,5.83,5.67,4,5
Keita M.,Parma,C,3,5.67,5.5,4,5
Unai Gomez,Udinese,C,2,5.5,5.5,4,6
Liberali,Como,C,1,6,6,4,6
Moro N.,Bologna,C,1,5.5,5.5,4,4
Ellertsson,Genoa,C,3,5.5,5.5,4,6
Sow,Genoa,C,3,5.67,5.5,4,7
Colpani,Monza,C,3,5.83,6.83,4,9
Zhegrova,Juventus,C,1,6,6,4,6
Coulibaly L.,Lecce,C,3,6,6.33,4,7
Rovella,Lazio,C,2,6.25,6.25,4,7
Winks,Cagliari,C,3,5.83,5.83,4,7
Loftus-Cheek,Milan,C,3,5.83,5.67,4,4
Odgaard,Bologna,C,3,5.67,5.5,4,8
Pessina,Monza,C,0,0,0,4,6
Koulierakis,Roma,D,1,6,6,4,8
Comert,Torino,D,2,6.25,6.75,4,5
Mangas,Monza,D,3,6,6.67,4,7
Kouadio,Monza,D,3,5.83,5.67,4,4
Norton-Cuffy*,Genoa,D,2,5.75,5.75,4,0
Coco,Torino,D,3,5.83,5.83,4,7
Jimenez A.,Fiorentina,D,2,5,4.75,4,7
Leite,Lazio,D,0,0,0,4,6
Obert,Cagliari,D,3,6,6,4,8
Cambiaso,Juventus,D,1,6,5.5,4,8
Bellanova,Atalanta,D,1,5.5,5,4,5
Pedraza,Lazio,D,2,6,6,4,6
Celik,Juventus,D,3,5.83,5.67,4,8
Gabbia,Milan,D,1,6,6,4,7
Pavard,Inter,D,1,6,6,4,6
Buongiorno,Napoli,D,0,0,0,4,6
Djimsiti*,Atalanta,D,0,0,0,4,0
Zappacosta,Atalanta,D,3,5.83,5.83,4,8
Muric,Sassuolo,P,3,6,4.33,4,7
Robinson J.,Monza,A,1,7,10,3,6
Rrahmani Al.,Venezia,A,1,5.5,5.5,3,7
Elphege,Parma,A,1,5.5,5.5,3,3
Stulic,Lecce,A,3,5.33,5.33,3,6
Gimenez*,Milan,A,0,0,0,3,0
N'Dri,Lecce,A,3,5.83,5.83,3,4
Dallinga*,Bologna,A,0,0,0,3,0
Vitinha O.,Genoa,A,3,5.5,5.5,3,7
Ngonge,Monza,A,0,0,0,3,4
Zapata D.,Torino,A,0,0,0,3,6
Massolin,Cagliari,C,0,0,0,3,4
Grillitsch,Frosinone,C,0,0,0,3,4
Diallo O.,Parma,C,1,6,6,3,3
Koutsoupias*,Frosinone,C,0,0,0,3,0
Cichella,Frosinone,C,2,5.75,5.75,3,4
Amorim,Genoa,C,2,6,6,3,4
Ngom,Lecce,C,3,5.5,5.33,3,4
Gorter,Lecce,C,2,6,7.5,3,3
Sorensen O.*,Parma,C,0,0,0,3,0
Miller L.,Udinese,C,3,6,5.83,3,4
Jashari,Milan,C,2,6.25,6.25,3,5
Ordonez C.,Parma,C,3,5.83,5.83,3,3
Addai,Como,C,0,0,0,3,4
Dominguez B.,Sassuolo,C,2,5.75,5.75,3,3
Fadera,Cagliari,C,2,6,6,3,3
Dele-Bashiru,Lazio,C,1,5.5,5.5,3,4
Akinsanmiro,Monza,C,2,6.25,6.75,3,7
Fini,Frosinone,C,3,6,6,3,5
El Aynaoui*,Roma,C,0,0,0,3,0
El Azzouzi O.,Bologna,C,1,5,4.5,3,2
Oristanio,Torino,C,0,0,0,3,6
Almqvist,Parma,C,2,5.75,5.5,3,4
Gineitis,Torino,C,3,5.5,5.67,3,5
Berisha M.,Lecce,C,0,0,0,3,4
Zerbin,Frosinone,C,2,6.25,6.25,3,6
Ricci S.,Como,C,0,0,0,3,3
Sohm,Venezia,C,2,5.75,5.5,3,5
Luis Henrique,Inter,C,2,6,6,3,5
Pobega,Bologna,C,2,6,6,3,6
Gilmour,Napoli,C,0,0,0,3,2
Caqueret,Como,C,2,6.25,6.25,3,7
Brescianini,Fiorentina,C,3,5.67,5.67,3,4
Adopo,Cagliari,C,3,6.17,6.5,3,7
Fofana Y.*,Milan,C,0,0,0,3,0
Traorè Hj.,Genoa,C,0,0,0,3,4
Cataldi,Lazio,C,0,0,0,3,3
De Roon,Roma,C,0,0,0,3,3
Leysen F.,Sassuolo,D,3,6.17,6.5,3,6
Favasuli,Napoli,D,0,0,0,3,3
Halhal,Venezia,D,2,4.75,3.5,3,3
Mitaj,Genoa,D,0,0,0,3,3
Viery,Fiorentina,D,2,5.5,5.5,3,5
Obrador,Sassuolo,D,1,6,6,3,6
Helland,Bologna,D,2,6,6,3,3
Zè Pedro,Cagliari,D,3,6,5.83,3,6
Britschgi,Parma,D,2,6,6,3,4
Bella-Kotchap,Venezia,D,2,5,5,3,5
Siebert,Lecce,D,3,5.5,5.33,3,4
Fortini,Torino,D,3,6.17,6.17,3,6
Vitik,Bologna,D,0,0,0,3,4
Smolcic I.,Como,D,1,5.5,5.5,3,4
Veiga D.,Lecce,D,3,5.67,5.83,3,5
Palma,Udinese,D,1,6.5,6.5,3,2
Ahanor*,Atalanta,D,0,0,0,3,0
Kempf,Como,D,1,6.5,6.5,3,5
Schingtienne,Venezia,D,3,5.17,5,3,3
Lucchesi,Monza,D,3,5.67,5.33,3,4
Gaspar K.,Lecce,D,3,5.33,5,3,5
Ghilardi,Roma,D,2,6.5,6.5,3,5
Comuzzo,Torino,D,3,6.17,7.17,3,8
Pedersen*,Torino,D,1,6,6,3,0
Oyono A.,Frosinone,D,3,6.5,6.67,3,7
Beukema,Napoli,D,0,0,0,3,5
Ehizibue,Genoa,D,1,5.5,5.5,3,4
Hien,Atalanta,D,0,0,0,3,7
Doig,Sassuolo,D,3,6.17,7.17,3,7
Gatti,Juventus,D,1,7,9.5,3,5
Bertola,Udinese,D,1,6,6,3,4
Patterson,Torino,D,1,6,6,3,5
Drameh,Genoa,D,0,0,0,3,3
Haps,Venezia,D,3,5.83,5.67,3,5
Holm,Bologna,D,3,6.17,6,3,6
Zanoli,Udinese,D,0,0,0,3,3
Parisi,Fiorentina,D,0,0,0,3,4
Valenti,Parma,D,1,6,6,3,4
Estupinan,Milan,D,2,6,5.75,3,3
Ismajli,Torino,D,3,6,6,3,8
Monterisi,Frosinone,D,2,6,6,3,6
Angelino*,Roma,D,0,0,0,3,0
Balerdi,Roma,D,1,6.5,6.5,3,6
Gallo,Lecce,D,2,5.5,5.5,3,5
Ranieri L.,Fiorentina,D,1,5,5,3,2
Walukiewicz,Sassuolo,D,0,0,0,3,3
Caleta-Car,Sassuolo,D,0,0,0,3,6
Rodriguez R.,Torino,D,0,0,0,3,5
Delli Carri*,Monza,D,1,6,6,3,0
Juan Jesus,Venezia,D,0,0,0,3,4
Bijlow,Genoa,P,3,5.5,3.17,3,7
Palmisani,Frosinone,P,3,6.17,5.17,3,5
Stankovic F.,Venezia,P,3,6,3.67,3,6
Di Gregorio*,Juventus,P,0,0,0,3,0
Birligea,Frosinone,A,0,0,0,2,4
Fatah,Lecce,A,2,5.5,5.5,2,4
Kulenovic,Torino,A,1,5.5,5.5,2,4
Gueye,Udinese,A,2,5.75,5.75,2,4
Frigan,Parma,A,1,5.5,5.5,2,4
Ekhator,Juventus,A,0,0,0,2,2
Mutandwa*,Cagliari,A,0,0,0,2,0
Noslin,Lazio,A,1,6,6,2,6
Borrelli*,Cagliari,A,1,6,6,2,0
Mota,Monza,A,1,6,6,2,5
Morata*,Como,A,0,0,0,2,0
Chakvetadze,Udinese,C,0,0,0,2,1
Fernandez T.,Venezia,C,1,6,6,2,4
Felici,Cagliari,C,1,6,6,2,5
Prati*,Cagliari,C,0,0,0,2,0
Gelli F.,Frosinone,C,0,0,0,2,2
Sulemana I.,Sassuolo,C,1,6,6,2,3
Ilkhan,Torino,C,1,5.5,5.5,2,4
Ciurria,Monza,C,0,0,0,2,1
Miretti*,Juventus,C,0,0,0,2,0
Messias,Genoa,C,3,6,6,2,5
Mkhitaryan,Inter,C,0,0,0,2,4
Gagliardini,Cagliari,C,1,5.5,5.5,2,3
Tchato,Frosinone,D,0,0,0,2,3
Akpoguma,Frosinone,D,0,0,0,2,2
Kofler,Cagliari,D,2,6,6,2,6
Alhassane,Bologna,D,2,5.75,5.75,2,2
Franjic,Venezia,D,2,5.75,5.75,2,2
Cuenca A.*,Como,D,0,0,0,2,0
Arizala,Udinese,D,0,0,0,2,3
Athekame*,Milan,D,0,0,0,2,0
Candè,Sassuolo,D,0,0,0,2,2
Moreno M.,Venezia,D,1,5.5,5,2,4
Sverko,Venezia,D,0,0,0,2,2
Kambwala,Como,D,0,0,0,2,3
Cittadini,Frosinone,D,3,5.83,5.83,2,4
Pongracic,Fiorentina,D,1,5,5,2,3
Tomori,Milan,D,0,0,0,2,6
Zappa*,Cagliari,D,1,6,6,2,0
Pellegrini Lu.,Lazio,D,0,0,0,2,1
Kolasinac,Atalanta,D,3,6.17,6.17,2,6
Martin*,Genoa,D,0,0,0,2,0
Daffara,Parma,P,0,0,0,2,6
Enem,Bologna,A,0,0,0,1,2
De Martis,Parma,A,0,0,0,1,1
Havel,Genoa,A,0,0,0,1,3
Albarracin*,Cagliari,A,0,0,0,1,0
Giovane,Napoli,A,0,0,0,1,3
Moro L.*,Sassuolo,A,0,0,0,1,0
Kuhn*,Como,A,0,0,0,1,0
Sulemana K.,Atalanta,A,0,0,0,1,5
Adorante,Venezia,A,0,0,0,1,4
Milik,Juventus,A,0,0,0,1,4
Petagna*,Monza,A,0,0,0,1,0
Sierro,Parma,C,0,0,0,1,1
Comotto,Milan,C,0,0,0,1,1
Laerke,Lecce,C,0,0,0,1,1
Colombo L.,Monza,C,1,5.5,5,1,2
Camara A.*,Udinese,C,0,0,0,1,0
Lahdo,Como,C,0,0,0,1,1
Przyborek,Lazio,C,0,0,0,1,1
Fofana Sa.,Lecce,C,0,0,0,1,1
Aboukhlal,Torino,C,2,5.5,5.5,1,3
Liteta,Cagliari,C,0,0,0,1,1
Iannoni*,Sassuolo,C,0,0,0,1,0
Jovanovic,Udinese,C,0,0,0,1,2
Venturino,Genoa,C,0,0,0,1,1
Anjorin*,Torino,C,0,0,0,1,0
Lipani,Sassuolo,C,1,6,6,1,2
Boloca,Sassuolo,C,0,0,0,1,1
Helgason,Venezia,C,0,0,0,1,2
Bjarkason*,Venezia,C,0,0,0,1,0
Ciervo,Cagliari,C,0,0,0,1,1
Duncan,Venezia,C,0,0,0,1,1
Drobnic,Parma,D,1,5.5,5.5,1,2
Maye,Monza,D,0,0,0,1,1
Omar Fayed,Frosinone,D,0,0,0,1,1
Aurelio,Cagliari,D,0,0,0,1,1
Diawara S.,Milan,D,0,0,0,1,1
Corrado*,Frosinone,D,0,0,0,1,0
Oyono J.*,Frosinone,D,0,0,0,1,0
Gelli J.*,Frosinone,D,0,0,0,1,0
Gomes,Venezia,D,0,0,0,1,1
Macchioni*,Sassuolo,D,0,0,0,1,0
Mlacic*,Udinese,D,0,0,0,1,0
Raterink*,Cagliari,D,0,0,0,1,0
Ndaba,Lecce,D,2,5.5,5.5,1,1
Perez M.*,Lecce,D,0,0,0,1,0
Pieragnolo,Sassuolo,D,0,0,0,1,1
Idrissi R.,Cagliari,D,0,0,0,1,2
Otoa,Genoa,D,1,4.5,4.5,1,2
Jean,Lecce,D,0,0,0,1,1
Dembelè A.,Lecce,D,0,0,0,1,1
Marianucci,Napoli,D,0,0,0,1,1
Sagrado,Venezia,D,1,7,10,1,4
Goglichidze,Monza,D,0,0,0,1,2
Vogliacco*,Genoa,D,0,0,0,1,0
Matturro*,Genoa,D,0,0,0,1,0
Missori*,Sassuolo,D,0,0,0,1,0
Ebosse,Udinese,D,3,5.83,5.83,1,3
Terracciano F.,Milan,D,0,0,0,1,1
Casale,Bologna,D,0,0,0,1,2
Amey,Frosinone,D,0,0,0,1,1
Antov,Monza,D,0,0,0,1,1
Lazzari,Lazio,D,0,0,0,1,1
Sabelli,Genoa,D,1,5,5,1,2
De Silvestri,Bologna,D,0,0,0,1,1
Goldaniga,Como,D,0,0,0,1,1
Patric,Lazio,D,0,0,0,1,1
Rugani,Juventus,D,0,0,0,1,1
Biraghi,Torino,D,0,0,0,1,1
Mrozek,Udinese,P,0,0,0,1,1
Pisseri,Frosinone,P,0,0,0,1,1
Penev,Lecce,P,0,0,0,1,1
Vismara*,Atalanta,P,0,0,0,1,0
Renzetti,Lazio,P,0,0,0,1,1
Happonen,Bologna,P,0,0,0,1,1
Pozzi,Venezia,P,0,0,0,1,1
Strajnar,Monza,P,0,0,0,1,1
Lolic,Frosinone,P,0,0,0,1,1
Desplanches,Frosinone,P,0,0,0,1,1
Mascardi,Torino,P,2,5.75,3.75,1,1
Siviero,Torino,P,0,0,0,1,1
Pessina Mas.,Bologna,P,0,0,0,1,1
Torriani,Milan,P,0,0,0,1,1
Pizzignacco*,Monza,P,1,5,1,1,0
Grandi,Venezia,P,0,0,0,1,1
Sherri,Cagliari,P,0,0,0,1,1
Stolz,Genoa,P,0,0,0,1,1
Samooja*,Lecce,P,0,0,0,1,0
Piana,Udinese,P,0,0,0,1,1
Montipò,Venezia,P,0,0,0,1,1
Ciocci*,Cagliari,P,0,0,0,1,0
Turati,Sassuolo,P,0,0,0,1,1
Russo A.,Sassuolo,P,0,0,0,1,1
Thiam,Monza,P,2,5.25,3.25,1,4
Bleve,Lecce,P,0,0,0,1,1
Ghidotti,Parma,P,0,0,0,1,1
Vigorito,Como,P,0,0,0,1,1
Fruchtl*,Lecce,P,0,0,0,1,0
Rossi F.*,Atalanta,P,0,0,0,1,0
Satalino,Sassuolo,P,0,0,0,1,1
Padelli,Udinese,P,0,0,0,1,1
Sommariva,Genoa,P,0,0,0,1,1
Perin*,Juventus,P,0,0,0,1,0
Lezzerini,Fiorentina,P,0,0,0,1,1
Radunovic,Cagliari,P,0,0,0,1,1
