Nome,Squadra,Ruolo,QtA,QtI,Diff
Svilar,Roma,P,18,18,0
Carnesecchi,Atalanta,P,17,16,1
Martinez Jo.,Inter,P,17,17,0
Vicario,Juventus,P,16,16,0
Butez,Como,P,15,16,-1
Maignan,Milan,P,15,15,0
Caprile,Cagliari,P,11,9,2
Mandas,Lazio,P,11,9,2
Meret,Napoli,P,11,11,0
Skorupski,Bologna,P,10,10,0
De Gea,Fiorentina,P,10,13,-3
Okoye,Udinese,P,9,9,0
Perri,Torino,P,9,9,0
Falcone,Lecce,P,8,8,0
Sanchez Ro.,Como,P,8,8,0
Bijlow,Genoa,P,7,8,-1
Muric,Sassuolo,P,7,7,0
Daffara,Parma,P,6,7,-1
Stankovic F.,Venezia,P,6,6,0
Palmisani,Frosinone,P,5,4,1
Thiam,Monza,P,4,5,-1
Milinkovic-Savic V.,Napoli,P,4,5,-1
Corvi,Parma,P,3,1,2
Sportiello,Atalanta,P,1,1,0
Happonen,Bologna,P,1,1,0
Pessina Mas.,Bologna,P,1,1,0
Sherri,Cagliari,P,1,1,0
Tornqvist,Monza,P,1,1,0
Vigorito,Como,P,1,1,0
Christensen O.,Fiorentina,P,1,1,0
Lezzerini,Fiorentina,P,1,1,0
Desplanches,Frosinone,P,1,2,-1
Lolic,Frosinone,P,1,1,0
Sommariva,Genoa,P,1,1,0
Stolz,Genoa,P,1,1,0
Di Gennaro,Inter,P,1,1,0
Provedel,Inter,P,1,2,-1
Pinsoglio,Juventus,P,1,1,0
Motta,Lazio,P,1,1,0
Renzetti,Lazio,P,1,1,0
Terracciano,Milan,P,1,1,0
Torriani,Milan,P,1,1,0
Strajnar,Monza,P,1,1,0
Contini,Napoli,P,1,1,0
De Marzi,Roma,P,1,1,0
Gollini,Roma,P,1,1,0
Russo A.,Sassuolo,P,1,1,0
Turati,Sassuolo,P,1,1,0
Mascardi,Torino,P,1,1,0
Siviero,Torino,P,1,1,0
Padelli,Udinese,P,1,1,0
Piana,Udinese,P,1,1,0
Grandi,Venezia,P,1,1,0
Pozzi,Venezia,P,1,1,0
Satalino,Sassuolo,P,1,1,0
Penev,Lecce,P,1,1,0
Pisseri,Frosinone,P,1,1,0
Radunovic,Cagliari,P,1,1,0
Montipò,Venezia,P,1,1,0
Bleve,Lecce,P,1,1,0
Grabara,Juventus,P,1,1,0
Mrozek,Udinese,P,1,1,0
Ghidotti,Parma,P,1,1,0
Pompei,Atalanta,P,1,1,0
Dimarco,Inter,D,31,32,-1
Wesley,Roma,D,18,17,1
Molina N.,Roma,D,18,18,0
Bremer,Juventus,D,16,15,1
Akanji,Inter,D,15,16,-1
Mancini,Roma,D,15,15,0
Bastoni,Inter,D,14,14,0
Kalulu,Juventus,D,14,13,1
Pavlovic,Milan,D,14,14,0
Rrahmani,Napoli,D,14,14,0
Bisseck,Inter,D,13,11,2
Gila,Milan,D,13,12,1
Solet,Udinese,D,13,13,0
Stones,Inter,D,12,12,0
Di Lorenzo,Napoli,D,12,12,0
Hermoso,Roma,D,12,10,2
N'Dicka,Roma,D,12,13,-1
Scalvini,Atalanta,D,11,10,1
Spence,Inter,D,11,12,-1
Ramon,Como,D,10,10,0
Ostigard,Genoa,D,10,11,-1
Kamara H.,Udinese,D,10,6,4
Chalobah T.,Como,D,10,9,1
Miranda J.,Bologna,D,9,8,1
Dodò,Fiorentina,D,9,10,-1
Vasquez,Genoa,D,9,9,0
Valeri,Parma,D,9,8,1
Vojvoda,Udinese,D,9,8,1
Couto,Como,D,9,8,1
Zappacosta,Atalanta,D,8,8,0
Lucumì,Juventus,D,8,8,0
Obert,Cagliari,D,8,7,1
Bracaglia,Frosinone,D,8,5,3
Celik,Juventus,D,8,8,0
Cambiaso,Juventus,D,8,9,-1
Doekhi,Lazio,D,8,7,1
Tiago Gabriel,Lecce,D,8,7,1
Bartesaghi,Milan,D,8,8,0
Spinazzola,Napoli,D,8,8,0
Delprato,Parma,D,8,8,0
Koulierakis,Roma,D,8,8,0
Comuzzo,Torino,D,8,6,2
Ismajli,Torino,D,8,7,1
Theate,Bologna,D,8,8,0
Belghali,Torino,D,8,7,1
Diego Carlos,Parma,D,8,8,0
Hien,Atalanta,D,7,8,-1
Mina,Cagliari,D,7,8,-1
Valle,Como,D,7,6,1
Dragusin,Fiorentina,D,7,8,-1
Jimenez A.,Fiorentina,D,7,8,-1
Oyono A.,Frosinone,D,7,5,2
Carlos Augusto,Inter,D,7,7,0
Tavares N.,Lazio,D,7,6,1
Gabbia,Milan,D,7,7,0
Mangas,Monza,D,7,6,1
Idzes,Sassuolo,D,7,7,0
Doig,Sassuolo,D,7,4,3
Coco,Torino,D,7,7,0
Kolasinac,Atalanta,D,6,5,1
Holm,Bologna,D,6,5,1
Zortea,Bologna,D,6,6,0
Kofler,Cagliari,D,6,5,1
Zè Pedro,Cagliari,D,6,5,1
Kaiki,Como,D,6,7,-1
Calvani,Frosinone,D,6,4,2
Monterisi,Frosinone,D,6,6,0
Marcandalli,Genoa,D,6,6,0
Pavard,Inter,D,6,6,0
Pedraza,Lazio,D,6,5,1
Marusic,Lazio,D,6,6,0
Tomori,Milan,D,6,7,-1
Buongiorno,Napoli,D,6,7,-1
Kristensen T.,Atalanta,D,6,7,-1
Obrador,Sassuolo,D,6,6,0
Fortini,Torino,D,6,5,1
Leysen F.,Sassuolo,D,6,5,1
Badiashile,Napoli,D,6,7,-1
Sutalo J.,Lazio,D,6,7,-1
Balerdi,Roma,D,6,6,0
Caleta-Car,Sassuolo,D,6,6,0
Sugawara,Cagliari,D,6,6,0
Leite,Lazio,D,6,6,0
Bellanova,Atalanta,D,5,6,-1
Bernasconi,Atalanta,D,5,6,-1
Heggem,Bologna,D,5,6,-1
Rodriguez Ju.,Cagliari,D,5,3,2
Kempf,Como,D,5,5,0
Valdepenas,Fiorentina,D,5,6,-1
Viery,Fiorentina,D,5,6,-1
Gatti,Juventus,D,5,4,1
Kelly L.,Juventus,D,5,5,0
Gaspar K.,Lecce,D,5,5,0
Veiga D.,Lecce,D,5,5,0
Gallo,Lecce,D,5,6,-1
De Winter,Milan,D,5,3,2
Birindelli,Monza,D,5,4,1
Beukema,Napoli,D,5,6,-1
Ghilardi,Roma,D,5,4,1
Comert,Torino,D,5,4,1
Bella-Kotchap,Venezia,D,5,6,-1
Correia T.,Venezia,D,5,4,1
Hainaut,Venezia,D,5,3,2
Haps,Venezia,D,5,5,0
Patterson,Torino,D,5,5,0
Rodriguez R.,Torino,D,5,5,0
Kossounou,Atalanta,D,4,3,1
Vitik,Bologna,D,4,5,-1
Smolcic I.,Como,D,4,4,0
Parisi,Fiorentina,D,4,5,-1
Cittadini,Frosinone,D,4,3,1
Provstgaard,Lazio,D,4,3,1
Floriani Mussolini,Lazio,D,4,3,1
Siebert,Lecce,D,4,4,0
Lucchesi,Monza,D,4,4,0
Kouadio,Monza,D,4,3,1
Carboni A.,Monza,D,4,3,1
Olivera,Napoli,D,4,5,-1
Troilo,Parma,D,4,3,1
Valenti,Parma,D,4,4,0
Britschgi,Parma,D,4,3,1
Rensch,Roma,D,4,5,-1
Kabasele,Udinese,D,4,4,0
Bertola,Udinese,D,4,4,0
Moreno M.,Venezia,D,4,5,-1
Sagrado,Venezia,D,4,2,2
Terzic,Frosinone,D,4,4,0
Cinquegrano,Sassuolo,D,4,1,3
Juan Jesus,Venezia,D,4,4,0
Ehizibue,Genoa,D,4,4,0
Helland,Bologna,D,3,2,1
Pongracic,Fiorentina,D,3,4,-1
Joao Mario,Fiorentina,D,3,3,0
Mitaj,Genoa,D,3,4,-1
Estupinan,Milan,D,3,3,0
Walukiewicz,Sassuolo,D,3,4,-1
Abankwah,Udinese,D,3,1,2
Ebosse,Udinese,D,3,2,1
Zanoli,Udinese,D,3,4,-1
Arizala,Udinese,D,3,4,-1
Halhal,Venezia,D,3,4,-1
Schingtienne,Venezia,D,3,3,0
Odenthal,Sassuolo,D,3,1,2
Favasuli,Napoli,D,3,4,-1
Lulli,Roma,D,3,1,2
Tchato,Frosinone,D,3,3,0
Kambwala,Como,D,3,3,0
Drameh,Genoa,D,3,3,0
Casale,Bologna,D,2,3,-1
Alhassane,Bologna,D,2,2,0
Idrissi R.,Cagliari,D,2,3,-1
Ranieri L.,Fiorentina,D,2,3,-1
Akpoguma,Frosinone,D,2,3,-1
Otoa,Genoa,D,2,2,0
Sabelli,Genoa,D,2,2,0
Marin R.,Napoli,D,2,2,0
Candè,Sassuolo,D,2,3,-1
Palma,Udinese,D,2,2,0
Sverko,Venezia,D,2,3,-1
Franjic,Venezia,D,2,2,0
Goglichidze,Monza,D,2,2,0
Drobnic,Parma,D,2,1,1
De Silvestri,Bologna,D,1,1,0
Goldaniga,Como,D,1,1,0
Van Der Brempt,Sassuolo,D,1,2,-1
Amey,Frosinone,D,1,1,0
Puczka,Genoa,D,1,2,-1
Rugani,Juventus,D,1,1,0
Cabal,Juventus,D,1,1,0
Patric,Lazio,D,1,1,0
Lazzari,Lazio,D,1,2,-1
Pellegrini Lu.,Lazio,D,1,2,-1
Jean,Lecce,D,1,2,-1
Ndaba,Lecce,D,1,1,0
Diawara S.,Milan,D,1,2,-1
Antov,Monza,D,1,1,0
Bakoune,Monza,D,1,1,0
Marianucci,Napoli,D,1,1,0
Mazzocchi,Venezia,D,1,1,0
Ndiaye,Parma,D,1,1,0
Carboni F.,Parma,D,1,1,0
Ziolkowski,Monza,D,1,1,0
Pieragnolo,Sassuolo,D,1,1,0
Biraghi,Torino,D,1,2,-1
Gomes,Venezia,D,1,1,0
Aurelio,Cagliari,D,1,2,-1
Omar Fayed,Frosinone,D,1,1,0
Terracciano F.,Milan,D,1,2,-1
Maye,Monza,D,1,1,0
Dembelè A.,Lecce,D,1,1,0
Paz N.,Como,C,30,30,0
Calhanoglu,Inter,C,28,27,1
McTominay,Napoli,C,26,28,-2
Orsolini,Bologna,C,25,26,-1
Pulisic,Milan,C,23,25,-2
Rabiot,Milan,C,22,22,0
Baturina,Como,C,21,19,2
Mora,Roma,C,20,19,1
Da Cunha,Como,C,18,18,0
Barella,Inter,C,17,17,0
De Bruyne,Napoli,C,17,15,2
Zaniolo,Udinese,C,17,18,-1
McKennie,Juventus,C,16,17,-1
Zaccagni,Lazio,C,16,16,0
Atta,Fiorentina,C,15,17,-2
Ederson D.S.,Atalanta,C,13,12,1
Samardzic,Atalanta,C,13,12,1
Gudmundsson A.,Lazio,C,13,13,0
Conceicao,Juventus,C,13,12,1
Taylor K.,Lazio,C,13,13,0
Vlasic,Torino,C,13,14,-1
Gonzalez N.,Juventus,C,13,11,2
Zielinski,Inter,C,12,10,2
Modric,Milan,C,12,12,0
Ekkelenkamp,Udinese,C,12,10,2
Jones C.,Inter,C,12,12,0
Kessiè,Atalanta,C,12,12,0
Goncalves P.,Fiorentina,C,12,12,0
Perrone,Como,C,11,10,1
Rodriguez Je.,Como,C,11,12,-1
Baldanzi,Genoa,C,11,11,0
Frattesi,Lazio,C,11,7,4
Alajbegovic,Juventus,C,11,12,-1
Saelemaekers,Milan,C,11,10,1
Mastantuono,Fiorentina,C,11,12,-1
Moreira,Milan,C,11,12,-1
Bernardeschi,Bologna,C,10,9,1
Rowe,Atalanta,C,10,11,-1
Mandragora,Torino,C,10,9,1
Zambo Anguissa,Napoli,C,10,11,-1
Politano,Napoli,C,10,10,0
Konè M.,Roma,C,10,10,0
Thorstvedt,Sassuolo,C,10,10,0
Diouf,Inter,C,9,8,1
Sucic P.,Inter,C,9,8,1
Locatelli,Juventus,C,9,8,1
Thuram K.,Juventus,C,9,10,-1
Cancellieri,Lazio,C,9,9,0
Isaksen,Lazio,C,9,9,0
Colpani,Monza,C,9,8,1
Vergara,Napoli,C,9,8,1
Cristante,Roma,C,9,8,1
Volpato,Sassuolo,C,9,7,2
Casadei,Torino,C,9,10,-1
Pellegrini Lo.,Roma,C,9,10,-1
Pasalic,Atalanta,C,8,9,-1
Ferguson,Bologna,C,8,7,1
Odgaard,Bologna,C,8,8,0
