Nome,Squadra,Ruolo,PG,MV,FM,FVM,Quotazione
Caprile,Cagliari,P,1,6,6,7,9
Geubbels,Lecce,A,1,5.5,5.5,6,9
Isaksen,Lazio,C,1,6,6,6,9
Ndour,Fiorentina,C,1,5.5,5.5,6,8
Colpani,Monza,C,1,5,5,6,8
Ferguson,Bologna,C,1,6,6,6,7
Volpato,Sassuolo,C,1,6.5,6.5,6,7
Fagioli,Fiorentina,C,1,5.5,5,6,8
Pasalic,Atalanta,C,1,5.5,5.5,6,9
Mandragora,Fiorentina,C,1,5,5,6,9
Pellegrini Lo.,Roma,C,0,0,0,6,10
Jimenez A.,Fiorentina,D,1,5.5,5.5,6,8
Carlos Augusto,Inter,D,0,0,0,6,7
Valeri,Parma,D,1,6,6,6,8
Gabbia,Milan,D,1,6,6,6,7
Romagnoli,Lazio,D,0,0,0,6,7
Rrahmani Al.,Venezia,A,0,0,0,5,8
Bonny,Inter,A,1,6,6,5,7
Camarda,Milan,A,0,0,0,5,5
Mota,Monza,A,0,0,0,5,5
Nkunku,Milan,A,0,0,0,5,13
Zapata D.,Torino,A,0,0,0,5,7
Fitz-Jim,Torino,C,1,6,6,5,4
Oulai,Fiorentina,C,1,6,6,5,6
Milla,Como,C,1,6.5,6.5,5,5
Romano,Cagliari,C,1,7,10,5,5
Cacciamani,Torino,C,1,5.5,5.5,5,5
Ondrejka*,Parma,C,0,0,0,5,0
Konè I.,Sassuolo,C,0,0,0,5,9
Karlstrom,Udinese,C,1,6.5,6.5,5,6
Pierotti,Lecce,C,1,6,6,5,6
El Aynaoui,Roma,C,0,0,0,5,4
Ellertsson,Genoa,C,1,5.5,5.5,5,6
Frendrup,Genoa,C,1,6,6,5,7
Zhegrova,Juventus,C,1,6,6,5,6
Basic,Venezia,C,1,5.5,5.5,5,6
Zalewski,Atalanta,C,1,6,6,5,6
Cambiaghi,Bologna,C,1,5.5,5,5,8
Sutalo J.,Lazio,D,0,0,0,5,7
Tiago Gabriel,Lecce,D,1,7,10,5,7
Valle,Como,D,1,5.5,5.5,5,6
Idzes,Sassuolo,D,0,0,0,5,7
Delprato,Parma,D,1,6,6,5,8
Dodò,Fiorentina,D,1,5,5,5,10
Badiashile,Napoli,D,0,0,0,5,7
Mina,Cagliari,D,0,0,0,5,8
Zappacosta,Atalanta,D,1,6.5,6.5,5,8
Suzuki*,Parma,P,0,0,0,5,0
Mendy P.,Cagliari,A,1,5.5,5.5,4,4
Noslin,Lazio,A,0,0,0,4,6
Kvernadze,Frosinone,A,1,6,6,4,4
Vitinha O.,Genoa,A,1,5.5,5.5,4,8
Piotrowski,Udinese,C,1,6,5.5,4,5
Tourè I.,Monza,C,0,0,0,4,6
Perez K.,Venezia,C,1,5.5,5.5,4,5
Keita M.,Parma,C,1,6,6,4,5
Njie,Torino,C,1,6.5,6.5,4,4
Unai Gomez,Udinese,C,0,0,0,4,7
Akinsanmiro,Monza,C,0,0,0,4,6
Pisilli,Roma,C,1,6.5,9.5,4,5
Moro N.,Bologna,C,0,0,0,4,4
Sow,Genoa,C,1,5.5,5.5,4,7
Coulibaly L.,Lecce,C,1,7,8,4,6
Musah,Milan,C,1,6,6,4,2
Caqueret,Como,C,0,0,0,4,6
Rovella,Lazio,C,1,6.5,6.5,4,6
Winks,Cagliari,C,1,6,6,4,6
Odgaard,Bologna,C,1,5.5,5,4,8
Pessina,Monza,C,0,0,0,4,7
Koulierakis,Roma,D,1,6,6,4,8
Mangas,Monza,D,1,5.5,5.5,4,6
Obrador,Sassuolo,D,0,0,0,4,6
Heggem,Bologna,D,1,5.5,5,4,6
Rensch,Roma,D,0,0,0,4,5
Ahanor,Atalanta,D,0,0,0,4,6
Coco,Torino,D,1,5.5,5.5,4,7
Obert,Cagliari,D,1,6,6,4,7
Pedraza,Lazio,D,1,6,6,4,5
Celik,Juventus,D,1,6,5.5,4,8
Pavard,Inter,D,0,0,0,4,6
Buongiorno,Napoli,D,0,0,0,4,7
Djimsiti*,Atalanta,D,0,0,0,4,0
Bijlow,Genoa,P,1,6,4,4,8
Muric,Sassuolo,P,1,6,4,4,7
Robinson J.,Monza,A,0,0,0,3,4
Elphege,Parma,A,1,5.5,5.5,3,3
Stulic,Lecce,A,1,5.5,5.5,3,7
Frigan,Parma,A,0,0,0,3,5
Giovane,Napoli,A,0,0,0,3,4
Lang,Napoli,A,1,6,6,3,3
Gimenez,Milan,A,0,0,0,3,6
Dallinga*,Bologna,A,0,0,0,3,0
Mutandwa,Cagliari,A,0,0,0,3,6
Sulemana K.,Atalanta,A,0,0,0,3,6
Adorante,Venezia,A,0,0,0,3,5
Milik,Juventus,A,0,0,0,3,5
Grillitsch,Frosinone,C,0,0,0,3,5
Diallo O.,Parma,C,1,6,6,3,3
Koutsoupias,Frosinone,C,0,0,0,3,4
Cichella,Frosinone,C,1,5.5,5.5,3,4
Amorim,Genoa,C,1,6.5,6.5,3,4
Ngom,Lecce,C,1,6,5.5,3,4
Miller L.,Udinese,C,1,6,6,3,3
Jashari,Milan,C,1,6.5,6.5,3,4
Addai,Como,C,0,0,0,3,5
Dominguez B.,Sassuolo,C,1,6,6,3,3
Dele-Bashiru,Lazio,C,1,5.5,5.5,3,5
Fini,Frosinone,C,1,6,6,3,3
El Azzouzi O.,Bologna,C,1,5,4.5,3,2
Oristanio,Torino,C,0,0,0,3,7
Almqvist,Parma,C,1,6,6,3,4
Gineitis,Torino,C,1,5.5,6.5,3,5
Berisha M.,Lecce,C,0,0,0,3,5
Ilkhan,Torino,C,0,0,0,3,4
Zerbin,Frosinone,C,1,6,6,3,5
Koopmeiners,Juventus,C,0,0,0,3,5
Ricci S.,Milan,C,0,0,0,3,4
Sohm,Venezia,C,0,0,0,3,5
Luis Henrique,Inter,C,1,6,6,3,4
Pobega,Bologna,C,0,0,0,3,6
Gilmour,Napoli,C,0,0,0,3,3
Adopo,Cagliari,C,1,6.5,7.5,3,6
Fofana Y.,Milan,C,0,0,0,3,5
Mkhitaryan,Inter,C,0,0,0,3,5
Cataldi,Lazio,C,0,0,0,3,4
Leysen F.,Sassuolo,D,1,5.5,5.5,3,5
Favasuli,Napoli,D,0,0,0,3,4
Halhal,Venezia,D,0,0,0,3,4
Mitaj,Genoa,D,0,0,0,3,4
Comert,Torino,D,0,0,0,3,4
Bracaglia,Frosinone,D,1,6,6,3,5
Calvani,Frosinone,D,1,6.5,6,3,4
Helland,Bologna,D,1,6,6,3,2
Zè Pedro,Cagliari,D,1,5.5,5,3,5
Britschgi,Parma,D,0,0,0,3,3
Siebert,Lecce,D,1,6.5,6.5,3,4
Floriani Mussolini,Lazio,D,1,6,5.5,3,3
Fortini,Torino,D,1,6,6,3,5
Vitik,Bologna,D,0,0,0,3,5
Smolcic I.,Como,D,0,0,0,3,4
Veiga D.,Lecce,D,1,6.5,7,3,5
Kempf,Como,D,0,0,0,3,5
Schingtienne,Venezia,D,1,5,5,3,3
Lucchesi,Monza,D,1,5,4.5,3,4
Gaspar K.,Lecce,D,1,7,6.5,3,5
Ghilardi,Roma,D,0,0,0,3,4
Comuzzo,Torino,D,1,6,6,3,6
Pedersen,Torino,D,1,6,6,3,5
Oyono A.,Frosinone,D,1,6,6,3,5
Beukema,Napoli,D,0,0,0,3,6
Hien,Atalanta,D,0,0,0,3,8
Doig,Sassuolo,D,1,6,6,3,4
Gatti,Juventus,D,0,0,0,3,4
Bertola,Udinese,D,0,0,0,3,4
Haps,Venezia,D,1,5.5,5.5,3,5
Holm,Bologna,D,1,6,6,3,5
Tavares N.,Lazio,D,0,0,0,3,6
Zanoli,Udinese,D,0,0,0,3,4
Parisi,Fiorentina,D,0,0,0,3,5
Estupinan,Milan,D,1,6,6,3,3
Ismajli,Torino,D,1,6,6,3,7
Monterisi,Frosinone,D,1,5,5,3,6
Angelino*,Roma,D,0,0,0,3,0
Gallo,Lecce,D,1,5.5,5.5,3,6
Ranieri L.,Fiorentina,D,1,5,5,3,3
Walukiewicz,Sassuolo,D,0,0,0,3,4
Kabasele,Udinese,D,0,0,0,3,4
Delli Carri,Monza,D,0,0,0,3,4
Mascardi,Torino,P,1,6,4,3,1
Daffara,Parma,P,0,0,0,3,7
Palmisani,Frosinone,P,1,6.5,5.5,3,4
Stankovic F.,Venezia,P,1,5.5,3.5,3,6
Di Gregorio*,Juventus,P,0,0,0,3,0
Thiam,Monza,P,0,0,0,3,5
Havel,Genoa,A,0,0,0,2,4
Kulenovic,Torino,A,0,0,0,2,4
Gueye,Udinese,A,1,5.5,5.5,2,4
Borrelli,Cagliari,A,1,6,6,2,4
Morata,Como,A,0,0,0,2,4
Colombo L.,Monza,C,0,0,0,2,3
Chakvetadze,Udinese,C,0,0,0,2,2
Felici,Cagliari,C,1,6,6,2,5
Prati,Cagliari,C,0,0,0,2,4
Gelli F.,Frosinone,C,0,0,0,2,3
Fabbian,Fiorentina,C,0,0,0,2,4
Sulemana I.,Atalanta,C,0,0,0,2,3
Ciurria,Monza,C,0,0,0,2,2
Miretti,Juventus,C,0,0,0,2,3
Messias,Genoa,C,1,6,6,2,3
De Roon,Atalanta,C,0,0,0,2,4
Akpoguma,Frosinone,D,0,0,0,2,3
Kofler,Cagliari,D,0,0,0,2,5
Alhassane,Bologna,D,0,0,0,2,2
Franjic,Venezia,D,1,5.5,5.5,2,2
Cuenca A.*,Como,D,0,0,0,2,0
Arizala,Udinese,D,0,0,0,2,4
Kouadio,Monza,D,1,5.5,5,2,3
Athekame*,Milan,D,0,0,0,2,0
Candè,Sassuolo,D,0,0,0,2,3
Moreno M.,Venezia,D,0,0,0,2,5
Sverko,Venezia,D,0,0,0,2,3
Cittadini,Frosinone,D,1,5.5,5.5,2,3
Pongracic,Fiorentina,D,0,0,0,2,4
Tomori,Milan,D,0,0,0,2,7
Zappa,Cagliari,D,1,6,6,2,4
Pellegrini Lu.,Lazio,D,0,0,0,2,2
Kolasinac,Atalanta,D,1,6,6,2,5
De Martis,Parma,A,0,0,0,1,1
Albarracin*,Cagliari,A,0,0,0,1,0
Trepy,Cagliari,A,0,0,0,1,1
Moro L.*,Sassuolo,A,0,0,0,1,0
Kuhn,Como,A,0,0,0,1,3
Petagna*,Monza,A,0,0,0,1,0
Laerke,Lecce,C,0,0,0,1,1
Dagasso,Venezia,C,1,5,4.5,1,1
Camara A.*,Udinese,C,0,0,0,1,0
Lahdo,Como,C,0,0,0,1,1
Przyborek,Lazio,C,0,0,0,1,1
Cremaschi,Parma,C,0,0,0,1,1
Aboukhlal,Torino,C,1,5.5,5.5,1,3
Liteta,Cagliari,C,0,0,0,1,1
Iannoni,Sassuolo,C,0,0,0,1,1
Venturino,Genoa,C,0,0,0,1,2
Hasa,Frosinone,C,1,6,6,1,2
Anjorin,Torino,C,0,0,0,1,1
Folorunsho,Napoli,C,0,0,0,1,4
Lipani,Sassuolo,C,0,0,0,1,2
Boloca,Sassuolo,C,0,0,0,1,2
Helgason,Venezia,C,0,0,0,1,3
Bjarkason*,Venezia,C,0,0,0,1,0
Duncan,Venezia,C,0,0,0,1,2
Lulli,Roma,D,1,6.5,6.5,1,1
Omar Fayed,Frosinone,D,0,0,0,1,1
Aurelio,Cagliari,D,0,0,0,1,2
Diawara S.,Milan,D,0,0,0,1,2
Corrado,Frosinone,D,0,0,0,1,1
Oyono J.,Frosinone,D,0,0,0,1,1
Gelli J.*,Frosinone,D,0,0,0,1,0
Gomes,Venezia,D,0,0,0,1,1
Mlacic,Udinese,D,0,0,0,1,1
Raterink*,Cagliari,D,0,0,0,1,0
Ndaba,Lecce,D,1,6,6,1,1
Perez M.*,Lecce,D,0,0,0,1,0
Pieragnolo,Sassuolo,D,0,0,0,1,1
Idrissi R.,Cagliari,D,0,0,0,1,3
Otoa,Genoa,D,1,4.5,4.5,1,2
Van Der Brempt,Como,D,0,0,0,1,2
Jean,Lecce,D,0,0,0,1,2
Marianucci,Napoli,D,0,0,0,1,1
Sagrado,Venezia,D,0,0,0,1,2
Vogliacco*,Genoa,D,0,0,0,1,0
Matturro,Genoa,D,0,0,0,1,1
Ebosse,Udinese,D,1,6,6,1,2
Terracciano F.,Milan,D,0,0,0,1,2
Casale,Bologna,D,0,0,0,1,3
Mazzocchi,Napoli,D,0,0,0,1,1
Amey,Frosinone,D,0,0,0,1,1
Lazzari,Lazio,D,0,0,0,1,2
Sabelli,Genoa,D,0,0,0,1,2
De Silvestri,Bologna,D,0,0,0,1,1
Goldaniga,Como,D,0,0,0,1,1
Patric,Lazio,D,0,0,0,1,1
Rugani,Juventus,D,0,0,0,1,1
Biraghi,Torino,D,0,0,0,1,2
Pisseri,Frosinone,P,0,0,0,1,1
Penev,Lecce,P,0,0,0,1,1
Renzetti,Lazio,P,0,0,0,1,1
Happonen,Bologna,P,0,0,0,1,1
Pozzi,Venezia,P,0,0,0,1,1
Strajnar,Monza,P,0,0,0,1,1
Lolic,Frosinone,P,0,0,0,1,1
Desplanches,Frosinone,P,0,0,0,1,2
Siviero,Torino,P,0,0,0,1,1
Motta,Lazio,P,0,0,0,1,1
Pessina Mas.,Bologna,P,0,0,0,1,1
Torriani,Milan,P,0,0,0,1,1
Pizzignacco,Monza,P,1,5,1,1,1
Grandi,Venezia,P,0,0,0,1,1
Sherri,Cagliari,P,0,0,0,1,1
Stolz,Genoa,P,0,0,0,1,1
Samooja*,Lecce,P,0,0,0,1,0
Christensen O.,Fiorentina,P,0,0,0,1,1
Piana,Udinese,P,0,0,0,1,1
Montipò,Venezia,P,0,0,0,1,1
Ciocci*,Cagliari,P,0,0,0,1,0
Turati,Sassuolo,P,0,0,0,1,1
Russo A.,Sassuolo,P,0,0,0,1,1
Bleve,Lecce,P,0,0,0,1,1
Fruchtl*,Lecce,P,0,0,0,1,0
Rossi F.*,Atalanta,P,0,0,0,1,0
Satalino,Sassuolo,P,0,0,0,1,1
Pinsoglio,Juventus,P,0,0,0,1,1
Padelli,Udinese,P,0,0,0,1,1
Sommariva,Genoa,P,0,0,0,1,1
Perin,Juventus,P,0,0,0,1,6
Lezzerini,Fiorentina,P,0,0,0,1,1
Radunovic,Cagliari,P,0,0,0,1,1
