Nome,Squadra,Ruolo,PG,MV,FM,FVM,Quotazione
Baldanzi,Genoa,C,2,5.75,5.75,7,11
Cristante,Roma,C,2,6.5,6.5,7,9
Bernardeschi,Bologna,C,2,6.5,6.5,7,10
Scalvini,Atalanta,D,2,6,6,7,10
Gutierrez*,Napoli,D,0,0,0,7,0
Diego Carlos,Parma,D,0,0,0,7,8
Perri,Torino,P,0,0,0,7,9
Okoye,Udinese,P,2,6.25,4.75,7,9
Falcone,Lecce,P,2,6.25,4.25,7,8
Gnonto,Fiorentina,A,0,0,0,6,7
Ratkov*,Lazio,A,0,0,0,6,0
Ghedjemis,Frosinone,A,0,0,0,6,8
Kvernadze,Frosinone,A,2,6.75,7.25,6,6
David*,Juventus,A,1,5,5,6,0
Geubbels,Lecce,A,2,5.25,5.25,6,8
Monteiro J.,Lecce,C,0,0,0,6,7
Hutchinson,Milan,C,0,0,0,6,8
Schmid,Frosinone,C,2,5.75,5.5,6,8
Cacciamani,Torino,C,2,6,6.5,6,6
Ndour,Fiorentina,C,2,5,5,6,7
Volpato,Sassuolo,C,2,6.75,8,6,9
Sarr P.,Juventus,C,0,0,0,6,7
Thuram K.,Juventus,C,0,0,0,6,9
Cancellieri,Lazio,C,2,5.75,5.5,6,9
Elmas,Atalanta,C,1,5.5,5.5,6,7
Cambiaghi,Bologna,C,2,6,5.75,6,8
Pasalic,Atalanta,C,2,5.5,5.5,6,8
Mandragora,Torino,C,2,5.25,5.25,6,8
Couto,Como,D,2,5.5,5.5,6,8
Valeri,Parma,D,2,6,6,6,8
Tavares N.,Lazio,D,1,6.5,7.5,6,7
Sanchez Ro.,Como,P,0,0,0,6,8
Caprile,Cagliari,P,2,6.5,6,6,10
Zeballos,Monza,A,0,0,0,5,6
Neres,Napoli,A,0,0,0,5,6
Camarda,Milan,A,0,0,0,5,4
Dia*,Lazio,A,2,6,6.25,5,0
Nkunku*,Milan,A,0,0,0,5,0
Braganca,Torino,C,0,0,0,5,6
Fitz-Jim,Torino,C,2,6,6,5,5
Oulai,Fiorentina,C,2,5.5,5.5,5,6
Romano,Cagliari,C,2,6.5,8,5,7
Ondrejka*,Parma,C,0,0,0,5,0
Konè I.,Sassuolo,C,0,0,0,5,8
Karlstrom,Udinese,C,2,6.5,6.5,5,7
Pierotti,Lecce,C,2,5.75,5.75,5,6
Pisilli,Roma,C,2,6.5,8,5,7
Frendrup,Genoa,C,2,6,6,5,7
Basic,Venezia,C,2,5.75,5.75,5,6
Zalewski,Atalanta,C,2,6.25,6.75,5,7
Fagioli,Fiorentina,C,2,5.5,5.25,5,7
Pellegrini Lo.,Roma,C,0,0,0,5,9
Sutalo J.,Lazio,D,0,0,0,5,7
Belghali,Torino,D,0,0,0,5,7
Tiago Gabriel,Lecce,D,2,6,7.5,5,8
Valle,Como,D,2,6,6,5,6
Idzes,Sassuolo,D,1,6,6,5,7
Delprato,Parma,D,2,6,5.75,5,8
Jimenez A.,Fiorentina,D,2,5,4.75,5,7
Dodò,Fiorentina,D,1,5,5,5,9
Carlos Augusto,Inter,D,0,0,0,5,6
Theate,Bologna,D,0,0,0,5,8
Dragusin,Fiorentina,D,2,4,3.75,5,7
Mina,Cagliari,D,0,0,0,5,7
Zappacosta,Atalanta,D,2,6,6,5,8
Romagnoli,Lazio,D,0,0,0,5,6
Suzuki*,Parma,P,0,0,0,5,0
Fatah,Lecce,A,1,5.5,5.5,4,4
Lang,Napoli,A,2,5.75,5.75,4,4
Bonny,Inter,A,1,6,6,4,7
Piotrowski,Udinese,C,2,6.25,7.5,4,6
Tourè I.,Monza,C,0,0,0,4,6
Perez K.,Venezia,C,2,5.75,5.5,4,5
Keita M.,Parma,C,2,5.5,5.5,4,5
Unai Gomez,Udinese,C,1,5.5,5.5,4,7
Folorunsho,Monza,C,1,6,6,4,4
Moro N.,Bologna,C,0,0,0,4,4
Ellertsson,Genoa,C,2,5.5,5.5,4,6
Sow,Genoa,C,2,5.75,5.75,4,7
Colpani,Monza,C,2,5.75,7.25,4,9
Zhegrova,Juventus,C,1,6,6,4,6
Koopmeiners,Juventus,C,1,7,10,4,7
Coulibaly L.,Lecce,C,2,6,6.5,4,7
Caqueret,Como,C,1,6,6,4,6
Rovella,Lazio,C,2,6.25,6.25,4,7
Winks,Cagliari,C,2,5.5,5.5,4,6
Loftus-Cheek,Milan,C,2,6,5.75,4,4
Odgaard,Bologna,C,2,5.75,5.5,4,8
Pessina,Monza,C,0,0,0,4,6
Sugawara,Cagliari,D,0,0,0,4,6
Koulierakis,Roma,D,1,6,6,4,8
Mangas,Monza,D,2,6,6.5,4,7
Bracaglia,Frosinone,D,2,6.75,8.5,4,7
Kouadio,Monza,D,2,5.75,5.5,4,3
Heggem,Bologna,D,2,5.5,5.25,4,6
Coco,Torino,D,2,5.75,5.75,4,7
Obert,Cagliari,D,2,5.75,5.75,4,7
Bellanova,Atalanta,D,0,0,0,4,6
Pedraza,Lazio,D,2,6,6,4,6
Celik,Juventus,D,2,6,5.75,4,8
Gabbia,Milan,D,1,6,6,4,7
Pavard,Inter,D,1,6,6,4,6
Caleta-Car,Sassuolo,D,0,0,0,4,6
Buongiorno,Napoli,D,0,0,0,4,6
Djimsiti*,Atalanta,D,0,0,0,4,0
Bijlow,Genoa,P,2,5.5,4,4,8
Muric,Sassuolo,P,2,6.25,4.75,4,7
Birligea,Frosinone,A,0,0,0,3,5
Rrahmani Al.,Venezia,A,0,0,0,3,7
Mendy P.,Cagliari,A,2,5.75,5.75,3,4
Elphege,Parma,A,1,5.5,5.5,3,3
Stulic,Lecce,A,2,5.25,5.25,3,6
Gimenez*,Milan,A,0,0,0,3,0
Dallinga*,Bologna,A,0,0,0,3,0
Vitinha O.,Genoa,A,2,5.5,5.5,3,8
Ngonge,Monza,A,0,0,0,3,5
Nzola,Cagliari,A,0,0,0,3,4
Milik,Juventus,A,0,0,0,3,4
Zapata D.,Torino,A,0,0,0,3,6
Massolin,Cagliari,C,0,0,0,3,4
Mout,Monza,C,1,5,5,3,1
Grillitsch,Frosinone,C,0,0,0,3,4
Diallo O.,Parma,C,1,6,6,3,3
Koutsoupias,Frosinone,C,0,0,0,3,4
Cichella,Frosinone,C,1,5.5,5.5,3,4
Amorim,Genoa,C,1,6.5,6.5,3,4
Ngom,Lecce,C,2,5.5,5.25,3,4
Gorter,Lecce,C,2,6,7.5,3,3
Sorensen O.*,Parma,C,0,0,0,3,0
Miller L.,Udinese,C,2,6,6,3,4
Jashari,Milan,C,2,6.25,6.25,3,5
Addai,Como,C,0,0,0,3,4
Dominguez B.,Sassuolo,C,2,5.75,5.75,3,4
Dele-Bashiru,Lazio,C,1,5.5,5.5,3,5
Akinsanmiro,Monza,C,1,6.5,7.5,3,7
Fini,Frosinone,C,2,6,6,3,4
El Aynaoui*,Roma,C,0,0,0,3,0
El Azzouzi O.,Bologna,C,1,5,4.5,3,2
Oristanio,Torino,C,0,0,0,3,6
Almqvist,Parma,C,1,6,6,3,4
Gineitis,Torino,C,2,5.5,5.75,3,5
Berisha M.,Lecce,C,0,0,0,3,4
Zerbin,Frosinone,C,2,6.25,6.25,3,6
Ricci S.,Como,C,0,0,0,3,4
Sohm,Venezia,C,1,6,6,3,5
Luis Henrique,Inter,C,2,6,6,3,5
Pobega,Bologna,C,1,6,6,3,6
Gilmour,Napoli,C,0,0,0,3,3
Adopo,Cagliari,C,2,6,6.5,3,7
Fofana Y.*,Milan,C,0,0,0,3,0
Cataldi,Lazio,C,0,0,0,3,4
De Roon,Roma,C,0,0,0,3,4
Leysen F.,Sassuolo,D,2,6,6.5,3,6
Favasuli,Napoli,D,0,0,0,3,4
Halhal,Venezia,D,1,5,3,3,3
Mitaj,Genoa,D,0,0,0,3,4
Comert,Torino,D,1,6,6,3,4
Viery,Fiorentina,D,1,5.5,5.5,3,6
Obrador,Sassuolo,D,1,6,6,3,6
Helland,Bologna,D,2,6,6,3,3
Zè Pedro,Cagliari,D,2,5.75,5.5,3,5
Britschgi,Parma,D,1,6,6,3,3
Siebert,Lecce,D,2,5.5,5.5,3,4
Fortini,Torino,D,2,6,6,3,6
Vitik,Bologna,D,0,0,0,3,4
Smolcic I.,Como,D,1,5.5,5.5,3,4
Veiga D.,Lecce,D,2,5.75,6,3,6
Ahanor*,Atalanta,D,0,0,0,3,0
Van Der Brempt,Sassuolo,D,0,0,0,3,2
Kempf,Como,D,1,6.5,6.5,3,5
Schingtienne,Venezia,D,2,5.5,5.25,3,3
Lucchesi,Monza,D,2,5.25,4.75,3,3
Ghilardi,Roma,D,1,7,7,3,5
Comuzzo,Torino,D,2,6.25,7.75,3,8
Pedersen*,Torino,D,1,6,6,3,0
Oyono A.,Frosinone,D,2,6.25,6.25,3,6
Beukema,Napoli,D,0,0,0,3,6
Hien,Atalanta,D,0,0,0,3,7
Gatti,Juventus,D,0,0,0,3,4
Bertola,Udinese,D,1,6,6,3,4
Patterson,Torino,D,0,0,0,3,5
Drameh,Genoa,D,0,0,0,3,3
Haps,Venezia,D,2,6,5.75,3,5
Holm,Bologna,D,2,6.25,6.25,3,6
Zanoli,Udinese,D,0,0,0,3,4
Mazzocchi,Venezia,D,0,0,0,3,1
Parisi,Fiorentina,D,0,0,0,3,4
Valenti,Parma,D,0,0,0,3,4
Ismajli,Torino,D,2,6,6,3,7
Monterisi,Frosinone,D,2,6,6,3,6
Angelino*,Roma,D,0,0,0,3,0
Balerdi,Roma,D,0,0,0,3,6
Gallo,Lecce,D,1,5.5,5.5,3,6
Walukiewicz,Sassuolo,D,0,0,0,3,4
Kabasele,Udinese,D,0,0,0,3,4
Delli Carri*,Monza,D,1,6,6,3,0
Juan Jesus,Venezia,D,0,0,0,3,4
Palmisani,Frosinone,P,2,6.25,5.75,3,5
Stankovic F.,Venezia,P,2,6,4,3,6
Di Gregorio*,Juventus,P,0,0,0,3,0
Kulenovic,Torino,A,1,5.5,5.5,2,4
Gueye,Udinese,A,2,5.75,5.75,2,4
Frigan,Parma,A,0,0,0,2,4
Giovane,Napoli,A,0,0,0,2,4
Mutandwa*,Cagliari,A,0,0,0,2,0
Noslin,Lazio,A,0,0,0,2,6
Borrelli,Cagliari,A,1,6,6,2,4
Sulemana K.,Atalanta,A,0,0,0,2,6
Mota,Monza,A,0,0,0,2,4
Adorante,Venezia,A,0,0,0,2,4
Morata*,Como,A,0,0,0,2,0
Chakvetadze,Udinese,C,0,0,0,2,2
Fernandez T.,Venezia,C,0,0,0,2,3
Felici,Cagliari,C,1,6,6,2,5
Prati*,Cagliari,C,0,0,0,2,0
Gelli F.,Frosinone,C,0,0,0,2,3
Fabbian,Parma,C,0,0,0,2,4
Sulemana I.,Sassuolo,C,0,0,0,2,3
Ilkhan,Torino,C,1,5.5,5.5,2,4
Miretti*,Juventus,C,0,0,0,2,0
Messias,Genoa,C,2,6,6,2,4
Mkhitaryan,Inter,C,0,0,0,2,4
Gagliardini,Cagliari,C,0,0,0,2,3
Tchato,Frosinone,D,0,0,0,2,3
Akpoguma,Frosinone,D,0,0,0,2,3
Kofler,Cagliari,D,1,6,6,2,5
Alhassane,Bologna,D,1,6,6,2,2
Franjic,Venezia,D,2,5.75,5.75,2,3
Cuenca A.*,Como,D,0,0,0,2,0
Arizala,Udinese,D,0,0,0,2,4
Athekame*,Milan,D,0,0,0,2,0
Candè,Sassuolo,D,0,0,0,2,3
Moreno M.,Venezia,D,0,0,0,2,4
Sverko,Venezia,D,0,0,0,2,3
Kambwala,Como,D,0,0,0,2,3
Cittadini,Frosinone,D,2,5.75,5.75,2,4
Pongracic,Fiorentina,D,1,5,5,2,4
Tomori,Milan,D,0,0,0,2,6
Zappa*,Cagliari,D,1,6,6,2,0
Terzic,Frosinone,D,2,5.75,5.75,2,4
Pellegrini Lu.,Lazio,D,0,0,0,2,2
Kolasinac,Atalanta,D,2,6,6,2,6
Daffara,Parma,P,0,0,0,2,6
Robinho Junior,Genoa,A,0,0,0,1,1
De Martis,Parma,A,0,0,0,1,1
Robinson J.,Monza,A,0,0,0,1,4
Havel,Genoa,A,0,0,0,1,4
Albarracin*,Cagliari,A,0,0,0,1,0
Moro L.*,Sassuolo,A,0,0,0,1,0
Kuhn*,Como,A,0,0,0,1,0
Petagna*,Monza,A,0,0,0,1,0
Comotto,Milan,C,0,0,0,1,1
Laerke,Lecce,C,0,0,0,1,1
Colombo L.,Monza,C,0,0,0,1,3
Camara A.*,Udinese,C,0,0,0,1,0
Lahdo,Como,C,0,0,0,1,1
Przyborek,Lazio,C,0,0,0,1,1
Cremaschi,Parma,C,1,5.5,5.5,1,2
Aboukhlal,Torino,C,2,5.5,5.5,1,3
Liteta,Cagliari,C,0,0,0,1,1
Iannoni*,Sassuolo,C,0,0,0,1,0
Jovanovic,Udinese,C,0,0,0,1,2
Venturino,Genoa,C,0,0,0,1,2
Hasa,Frosinone,C,1,6,6,1,2
Lipani,Sassuolo,C,0,0,0,1,2
Boloca,Sassuolo,C,0,0,0,1,2
Helgason,Venezia,C,0,0,0,1,3
Bjarkason*,Venezia,C,0,0,0,1,0
Ciervo,Cagliari,C,0,0,0,1,1
Duncan,Venezia,C,0,0,0,1,2
Drobnic,Parma,D,1,5.5,5.5,1,2
Maye,Monza,D,0,0,0,1,1
Omar Fayed,Frosinone,D,0,0,0,1,1
Aurelio,Cagliari,D,0,0,0,1,2
Diawara S.,Milan,D,0,0,0,1,2
Corrado*,Frosinone,D,0,0,0,1,0
Oyono J.*,Frosinone,D,0,0,0,1,0
Gelli J.*,Frosinone,D,0,0,0,1,0
Gomes,Venezia,D,0,0,0,1,1
Macchioni*,Sassuolo,D,0,0,0,1,0
Mlacic*,Udinese,D,0,0,0,1,0
Raterink*,Cagliari,D,0,0,0,1,0
Ndaba,Lecce,D,2,5.5,5.5,1,2
Perez M.*,Lecce,D,0,0,0,1,0
Pieragnolo,Sassuolo,D,0,0,0,1,1
Idrissi R.,Cagliari,D,0,0,0,1,3
Otoa,Genoa,D,1,4.5,4.5,1,2
Jean,Lecce,D,0,0,0,1,2
Dembelè A.,Lecce,D,0,0,0,1,1
Marianucci,Napoli,D,0,0,0,1,1
Sagrado,Venezia,D,0,0,0,1,2
Goglichidze,Monza,D,0,0,0,1,2
Vogliacco*,Genoa,D,0,0,0,1,0
Matturro*,Genoa,D,0,0,0,1,0
Ebosse,Udinese,D,2,5.75,5.75,1,3
Terracciano F.,Milan,D,0,0,0,1,2
Casale,Bologna,D,0,0,0,1,3
Amey,Frosinone,D,0,0,0,1,1
Antov,Monza,D,0,0,0,1,1
Lazzari,Lazio,D,0,0,0,1,2
Sabelli,Genoa,D,0,0,0,1,2
De Silvestri,Bologna,D,0,0,0,1,1
Goldaniga,Como,D,0,0,0,1,1
Patric,Lazio,D,0,0,0,1,1
Rugani,Juventus,D,0,0,0,1,1
Biraghi,Torino,D,0,0,0,1,2
Pompei,Atalanta,P,0,0,0,1,1
Mrozek,Udinese,P,0,0,0,1,1
Pisseri,Frosinone,P,0,0,0,1,1
Penev,Lecce,P,0,0,0,1,1
Renzetti,Lazio,P,0,0,0,1,1
Happonen,Bologna,P,0,0,0,1,1
Pozzi,Venezia,P,0,0,0,1,1
Strajnar,Monza,P,0,0,0,1,1
Lolic,Frosinone,P,0,0,0,1,1
Desplanches,Frosinone,P,0,0,0,1,2
Mascardi,Torino,P,2,5.75,3.75,1,1
Siviero,Torino,P,0,0,0,1,1
Motta,Lazio,P,0,0,0,1,1
Pessina Mas.,Bologna,P,0,0,0,1,1
Torriani,Milan,P,0,0,0,1,1
Pizzignacco*,Monza,P,1,5,1,1,0
Grandi,Venezia,P,0,0,0,1,1
Sherri,Cagliari,P,0,0,0,1,1
Stolz,Genoa,P,0,0,0,1,1
Samooja*,Lecce,P,0,0,0,1,0
Christensen O.,Fiorentina,P,0,0,0,1,1
Piana,Udinese,P,0,0,0,1,1
Montipò,Venezia,P,0,0,0,1,1
Ciocci*,Cagliari,P,0,0,0,1,0
Turati,Sassuolo,P,0,0,0,1,1
Russo A.,Sassuolo,P,0,0,0,1,1
Thiam,Monza,P,1,4.5,1.5,1,4
Bleve,Lecce,P,0,0,0,1,1
Ghidotti,Parma,P,0,0,0,1,1
Fruchtl*,Lecce,P,0,0,0,1,0
Rossi F.*,Atalanta,P,0,0,0,1,0
Satalino,Sassuolo,P,0,0,0,1,1
Padelli,Udinese,P,0,0,0,1,1
Sommariva,Genoa,P,0,0,0,1,1
Perin*,Juventus,P,0,0,0,1,0
Lezzerini,Fiorentina,P,0,0,0,1,1
Radunovic,Cagliari,P,0,0,0,1,1
