Nome,Squadra,Ruolo,QtA,QtI,Diff
Amey,Frosinone,D,1,1,0
Rugani,Juventus,D,1,1,0
Cabal,Juventus,D,1,1,0
Patric,Lazio,D,1,1,0
Antov,Monza,D,1,1,0
Marianucci,Napoli,D,1,1,0
Mazzocchi,Venezia,D,1,1,0
Carboni F.,Parma,D,1,1,0
Ziolkowski,Monza,D,1,1,0
Pieragnolo,Sassuolo,D,1,1,0
Gomes,Venezia,D,1,1,0
Omar Fayed,Frosinone,D,1,1,0
Maye,Monza,D,1,1,0
Dembelè A.,Lecce,D,1,1,0
Paz N.,Como,C,29,30,-1
Calhanoglu,Inter,C,28,27,1
McTominay,Napoli,C,27,28,-1
Orsolini,Bologna,C,25,26,-1
Pulisic,Milan,C,24,25,-1
Rabiot,Milan,C,23,22,1
Baturina,Como,C,20,19,1
Mora,Roma,C,20,19,1
Da Cunha,Como,C,18,18,0
Barella,Inter,C,18,17,1
Zaniolo,Udinese,C,18,18,0
McKennie,Juventus,C,17,17,0
De Bruyne,Napoli,C,17,15,2
Zaccagni,Lazio,C,16,16,0
Atta,Fiorentina,C,15,17,-2
Samardzic,Atalanta,C,13,12,1
Conceicao,Juventus,C,13,12,1
Taylor K.,Lazio,C,13,13,0
Vlasic,Torino,C,13,14,-1
Ederson D.S.,Atalanta,C,12,12,0
Gudmundsson A.,Lazio,C,12,13,-1
Zielinski,Inter,C,12,10,2
Modric,Milan,C,12,12,0
Ekkelenkamp,Udinese,C,12,10,2
Jones C.,Inter,C,12,12,0
Gonzalez N.,Juventus,C,12,11,1
Kessiè,Atalanta,C,12,12,0
Goncalves P.,Fiorentina,C,12,12,0
Rodriguez Je.,Como,C,11,12,-1
Baldanzi,Genoa,C,11,11,0
Alajbegovic,Juventus,C,11,12,-1
Saelemaekers,Milan,C,11,10,1
Mastantuono,Fiorentina,C,11,12,-1
Moreira,Milan,C,11,12,-1
Bernardeschi,Bologna,C,10,9,1
Rowe,Atalanta,C,10,11,-1
Perrone,Como,C,10,10,0
Frattesi,Lazio,C,10,7,3
Zambo Anguissa,Napoli,C,10,11,-1
Vergara,Napoli,C,10,8,2
Konè M.,Roma,C,10,10,0
Thorstvedt,Sassuolo,C,10,10,0
Diouf,Inter,C,9,8,1
Sucic P.,Inter,C,9,8,1
Locatelli,Juventus,C,9,8,1
Thuram K.,Juventus,C,9,10,-1
Cancellieri,Lazio,C,9,9,0
Isaksen,Lazio,C,9,9,0
Colpani,Monza,C,9,8,1
Politano,Napoli,C,9,10,-1
Cristante,Roma,C,9,8,1
Volpato,Sassuolo,C,9,7,2
Casadei,Torino,C,9,10,-1
Pellegrini Lo.,Roma,C,9,10,-1
Pasalic,Atalanta,C,8,9,-1
Odgaard,Bologna,C,8,8,0
Cambiaghi,Bologna,C,8,8,0
Mandragora,Torino,C,8,9,-1
Calò,Frosinone,C,8,7,1
Chukwueze,Milan,C,8,6,2
Lobotka,Napoli,C,8,7,1
Konè I.,Sassuolo,C,8,9,-1
Schmid,Frosinone,C,8,8,0
Hutchinson,Milan,C,8,8,0
Mbangula,Bologna,C,8,8,0
Gaetano,Atalanta,C,7,7,0
Zalewski,Atalanta,C,7,6,1
Ferguson,Bologna,C,7,7,0
Adopo,Cagliari,C,7,6,1
Romano,Cagliari,C,7,5,2
Fagioli,Fiorentina,C,7,8,-1
Ndour,Fiorentina,C,7,8,-1
Frendrup,Genoa,C,7,7,0
Koopmeiners,Juventus,C,7,5,2
Rovella,Lazio,C,7,6,1
Coulibaly L.,Lecce,C,7,6,1
Akinsanmiro,Monza,C,7,6,1
Bernabè,Parma,C,7,7,0
Pisilli,Roma,C,7,5,2
Karlstrom,Udinese,C,7,6,1
Unai Gomez,Udinese,C,7,7,0
Sow,Genoa,C,7,7,0
Elmas,Atalanta,C,7,7,0
Monteiro J.,Lecce,C,7,7,0
Sarr P.,Juventus,C,7,7,0
El Shaarawy,Genoa,C,7,7,0
Pobega,Bologna,C,6,6,0
Winks,Cagliari,C,6,6,0
Fazzini,Cagliari,C,6,7,-1
Milla,Como,C,6,5,1
Caqueret,Como,C,6,6,0
Liberali,Como,C,6,6,0
Oulai,Fiorentina,C,6,6,0
Zerbin,Frosinone,C,6,5,1
Ellertsson,Genoa,C,6,6,0
Zhegrova,Juventus,C,6,6,0
Pierotti,Lecce,C,6,6,0
Pessina,Monza,C,6,7,-1
Nicolussi Caviglia,Parma,C,6,6,0
Matic,Sassuolo,C,6,5,1
Adzic,Sassuolo,C,6,5,1
Bakola,Sassuolo,C,6,5,1
Cacciamani,Torino,C,6,5,1
Oristanio,Torino,C,6,7,-1
Piotrowski,Udinese,C,6,5,1
Basic,Venezia,C,6,6,0
Tourè I.,Monza,C,6,6,0
Braganca,Torino,C,6,6,0
Amondarain,Bologna,C,5,5,0
Felici,Cagliari,C,5,5,0
Meichtry,Genoa,C,5,5,0
Luis Henrique,Inter,C,5,4,1
Dele-Bashiru,Lazio,C,5,5,0
Jashari,Milan,C,5,4,1
Keita M.,Parma,C,5,5,0
Fitz-Jim,Torino,C,5,4,1
Gineitis,Torino,C,5,5,0
Busio,Venezia,C,5,5,0
Sohm,Venezia,C,5,5,0
Perez K.,Venezia,C,5,5,0
Cissè A.,Milan,C,5,3,2
De Roon,Roma,C,4,4,0
Moro N.,Bologna,C,4,4,0
Dominguez B.,Sassuolo,C,4,3,1
Addai,Como,C,4,5,-1
Fabbian,Parma,C,4,4,0
Cichella,Frosinone,C,4,4,0
Koutsoupias,Frosinone,C,4,4,0
Fini,Frosinone,C,4,3,1
Amorim,Genoa,C,4,4,0
Messias,Genoa,C,4,3,1
Traorè Hj.,Genoa,C,4,5,-1
Mkhitaryan,Inter,C,4,5,-1
Douglas Luiz,Juventus,C,4,4,0
Cataldi,Lazio,C,4,4,0
Ngom,Lecce,C,4,4,0
Berisha M.,Lecce,C,4,5,-1
Gandelman,Lecce,C,4,5,-1
Ricci S.,Como,C,4,4,0
Loftus-Cheek,Milan,C,4,4,0
Folorunsho,Monza,C,4,4,0
Almqvist,Parma,C,4,4,0
Ilkhan,Torino,C,4,4,0
Njie,Fiorentina,C,4,4,0
Miller L.,Udinese,C,4,3,1
Grillitsch,Frosinone,C,4,5,-1
Massolin,Cagliari,C,4,4,0
Sulemana I.,Sassuolo,C,3,3,0
Deiola,Cagliari,C,3,3,0
Brescianini,Fiorentina,C,3,3,0
Gelli F.,Frosinone,C,3,3,0
Masini,Frosinone,C,3,2,1
Stankovic A.,Inter,C,3,3,0
Gorter,Lecce,C,3,1,2
Maleh,Lecce,C,3,2,1
Musah,Milan,C,3,2,1
Colombo L.,Monza,C,3,3,0
Gilmour,Napoli,C,3,3,0
Ordonez C.,Parma,C,3,2,1
Diallo O.,Parma,C,3,3,0
Aboukhlal,Torino,C,3,3,0
Helgason,Venezia,C,3,3,0
Gagliardini,Cagliari,C,3,3,0
Fernandez T.,Venezia,C,3,3,0
El Azzouzi O.,Bologna,C,2,2,0
Fadera,Cagliari,C,2,2,0
Hasa,Frosinone,C,2,2,0
Venturino,Genoa,C,2,2,0
Belahyane,Lazio,C,2,1,1
Ciurria,Monza,C,2,2,0
Cremaschi,Parma,C,2,1,1
Boloca,Sassuolo,C,2,2,0
Lipani,Sassuolo,C,2,2,0
Zarraga,Udinese,C,2,1,1
Chakvetadze,Udinese,C,2,2,0
Duncan,Venezia,C,2,2,0
Forson O.,Monza,C,2,1,1
Foe Ondoa,Monza,C,2,1,1
Jovanovic,Udinese,C,2,2,0
Liteta,Cagliari,C,1,1,0
Lahdo,Como,C,1,1,0
El Azzouzi A.,Frosinone,C,1,1,0
Kone B.,Frosinone,C,1,1,0
Przyborek,Lazio,C,1,1,0
Kaba,Lecce,C,1,1,0
Fofana Sa.,Lecce,C,1,1,0
Ilic,Lecce,C,1,1,0
Anjorin,Torino,C,1,1,0
Dagasso,Venezia,C,1,1,0
Laerke,Lecce,C,1,1,0
Comotto,Milan,C,1,1,0
Mout,Monza,C,1,1,0
Ciervo,Cagliari,C,1,1,0
Malen,Roma,A,38,34,4
Martinez L.,Inter,A,33,35,-2
Thuram,Inter,A,28,29,-1
Hojlund,Napoli,A,28,28,0
Ramos G.,Milan,A,27,27,0
Kolo Muani,Juventus,A,25,26,-1
Kean,Como,A,24,25,-1
Woltemade,Juventus,A,23,23,0
Douvikas,Como,A,22,20,2
Yildiz,Juventus,A,22,23,-1
Scamacca,Atalanta,A,19,19,0
Berardi,Sassuolo,A,19,18,1
Davis K.,Udinese,A,19,19,0
Krstovic,Atalanta,A,18,18,0
De Ketelaere,Atalanta,A,17,17,0
Esposito F.P.,Inter,A,17,16,1
Dybala,Roma,A,16,14,2
Dovbyk,Bologna,A,15,16,-1
Laurientè,Sassuolo,A,15,15,0
Raspadori,Atalanta,A,14,13,1
Santos A.,Napoli,A,14,14,0
Pellegrino M.,Fiorentina,A,14,15,-1
Castro S.,Roma,A,14,14,0
Simeone,Torino,A,14,15,-1
Beto,Fiorentina,A,14,14,0
Soulè,Roma,A,13,12,1
Esposito Se.,Sassuolo,A,12,13,-1
Diao,Como,A,12,11,1
Pinamonti,Lazio,A,12,13,-1
Kevin Carlos,Cagliari,A,12,13,-1
Colombo,Genoa,A,11,11,0
Adams A.,Venezia,A,11,12,-1
Adams C.,Torino,A,10,9,1
Tourè E.,Parma,A,10,11,-1
Romero D.,Parma,A,10,10,0
Raimondo,Frosinone,A,9,7,2
Cutrone,Monza,A,9,9,0
Bowie,Sassuolo,A,9,10,-1
Yeboah J.,Venezia,A,9,8,1
Bobcek,Frosinone,A,9,9,0
Piccoli,Bologna,A,8,8,0
Ghedjemis,Frosinone,A,8,9,-1
Vitinha O.,Genoa,A,8,8,0
Geubbels,Lecce,A,8,9,-1
Osmajic,Genoa,A,8,8,0
Bonny,Inter,A,7,7,0
Boga,Juventus,A,7,6,1
Varela G.,Monza,A,7,3,4
Rrahmani Al.,Venezia,A,7,8,-1
Gnonto,Fiorentina,A,7,7,0
Sulemana K.,Atalanta,A,6,6,0
Kvernadze,Frosinone,A,6,4,2
Noslin,Lazio,A,6,6,0
Stulic,Lecce,A,6,7,-1
Neres,Napoli,A,6,6,0
Zapata D.,Torino,A,6,7,-1
Zeballos,Monza,A,6,6,0
Maldini,Cagliari,A,5,5,0
Birligea,Frosinone,A,5,5,0
Ngonge,Monza,A,5,5,0
Borrelli,Cagliari,A,4,4,0
Mendy P.,Cagliari,A,4,4,0
Havel,Genoa,A,4,4,0
N'Dri,Lecce,A,4,3,1
Camarda,Milan,A,4,5,-1
Mota,Monza,A,4,5,-1
Giovane,Napoli,A,4,4,0
Lang,Napoli,A,4,3,1
Lucca,Napoli,A,4,3,1
Frigan,Parma,A,4,5,-1
Kulenovic,Torino,A,4,4,0
Gueye,Udinese,A,4,4,0
Adorante,Venezia,A,4,5,-1
Robinson J.,Monza,A,4,4,0
Milik,Juventus,A,4,5,-1
Fatah,Lecce,A,4,4,0
Nzola,Cagliari,A,4,4,0
Ekhator,Juventus,A,3,3,0
Elphege,Parma,A,3,3,0
Lontani,Parma,A,3,1,2
Enem,Bologna,A,2,2,0
Trepy,Cagliari,A,1,1,0
Bayo V.,Udinese,A,1,1,0
Lisman,Venezia,A,1,1,0
Lauberbach,Venezia,A,1,1,0
De Martis,Parma,A,1,1,0
Robinho Junior,Genoa,A,1,1,0
