Nome,Squadra,Ruolo,PG,MV,FM,FVM,Quotazione
Mendy P.,Cagliari,A,5,6.3,6.9,5,8
Dia*,Lazio,A,2,6,6.25,5,0
Nkunku*,Milan,A,0,0,0,5,0
Boga,Juventus,A,3,5.83,5.83,5,6
Braganca,Torino,C,3,6.17,6,5,7
Monteiro J.,Lecce,C,3,5.5,5.5,5,6
Fitz-Jim,Torino,C,5,6,6,5,6
Sucic P.,Inter,C,4,6.12,6.12,5,9
Ondrejka*,Parma,C,0,0,0,5,0
Konè I.,Sassuolo,C,0,0,0,5,7
Karlstrom,Udinese,C,5,6.3,6.7,5,9
Isaksen,Lazio,C,4,5.75,5.62,5,8
Ndour,Fiorentina,C,5,5.7,5.9,5,8
Baldanzi,Genoa,C,5,5.8,5.8,5,10
Frendrup,Genoa,C,5,5.7,5.7,5,7
Volpato,Sassuolo,C,3,6.67,7.5,5,9
Pasalic,Atalanta,C,3,5.5,5.5,5,7
Sutalo J.,Lazio,D,2,6,6,5,7
Delprato,Parma,D,5,6,5.8,5,8
Dragusin,Fiorentina,D,5,5.3,5.4,5,8
Romagnoli*,Lazio,D,0,0,0,5,0
Suzuki*,Parma,P,0,0,0,5,0
Palmisani,Frosinone,P,5,6.9,6.1,5,9
Gnonto,Fiorentina,A,2,5.75,5.75,4,7
Bonny,Inter,A,2,6.5,8,4,8
Geubbels,Lecce,A,2,5.25,5.25,4,7
Hutchinson,Milan,C,0,0,0,4,7
Oulai,Fiorentina,C,3,5.67,5.67,4,5
Bakola,Sassuolo,C,4,6.25,6.5,4,8
Perez K.,Venezia,C,5,5.9,5.7,4,5
Keita M.,Parma,C,5,5.9,5.8,4,6
Mbangula,Bologna,C,0,0,0,4,7
Pierotti,Lecce,C,5,5.7,5.7,4,6
Moro N.,Bologna,C,3,5.83,5.83,4,5
Ellertsson,Genoa,C,5,5.6,5.5,4,5
Sow,Genoa,C,5,5.7,5.8,4,7
Casadei,Torino,C,1,5,5,4,8
Colpani,Monza,C,4,5.75,6.5,4,8
Thuram K.,Juventus,C,0,0,0,4,8
Busio,Venezia,C,4,6.12,6.5,4,7
Coulibaly L.,Lecce,C,5,6.2,7.6,4,10
Elmas,Atalanta,C,2,5.5,5.5,4,6
Rovella,Lazio,C,2,6.25,6.25,4,6
Winks,Cagliari,C,5,6.1,6.1,4,8
Loftus-Cheek,Milan,C,5,5.7,5.6,4,4
Pessina,Monza,C,0,0,0,4,5
Locatelli,Juventus,C,3,6.17,6.33,4,8
Zè Pedro,Cagliari,D,5,6.3,6.2,4,8
Kouadio,Monza,D,5,5.7,5.5,4,4
Norton-Cuffy*,Genoa,D,2,5.75,5.75,4,0
Idzes,Sassuolo,D,3,6.17,6,4,7
Coco,Torino,D,5,5.9,5.9,4,8
Obert,Cagliari,D,5,6,6,4,8
Bellanova,Atalanta,D,3,5.67,5.5,4,5
Zortea,Bologna,D,3,6,6,4,6
Mina,Cagliari,D,1,7,7,4,9
Diego Carlos,Parma,D,3,5.83,5.83,4,8
Marusic,Lazio,D,1,6,6,4,5
Djimsiti*,Atalanta,D,0,0,0,4,0
Zappacosta,Atalanta,D,3,5.83,5.83,4,7
Perri,Torino,P,3,5.67,4.33,4,9
Bobcek,Frosinone,A,1,6,6,3,8
Kulenovic,Torino,A,2,6.25,7.75,3,6
Elphege,Parma,A,3,5.83,6.17,3,5
Gueye,Udinese,A,4,6,6.75,3,7
Stulic,Lecce,A,5,5.5,5.5,3,6
Lang,Napoli,A,4,5.75,5.75,3,4
Gimenez*,Milan,A,0,0,0,3,0
N'Dri,Lecce,A,4,5.88,5.75,3,4
Dallinga*,Bologna,A,0,0,0,3,0
Camarda,Milan,A,0,0,0,3,4
Vitinha O.,Genoa,A,4,5.62,5.62,3,7
Ngonge,Monza,A,0,0,0,3,4
Zapata D.,Torino,A,1,5.5,5.5,3,5
Massolin,Cagliari,C,0,0,0,3,3
Koutsoupias*,Frosinone,C,0,0,0,3,0
Amorim,Genoa,C,2,6,6,3,4
Ngom,Lecce,C,5,5.6,5.5,3,4
Gorter,Lecce,C,2,6,7.5,3,3
Sorensen O.*,Parma,C,0,0,0,3,0
Miller L.,Udinese,C,5,5.7,5.6,3,4
Jashari,Milan,C,2,6.25,6.25,3,4
Piotrowski,Udinese,C,2,6.25,7.5,3,6
Tourè I.,Monza,C,0,0,0,3,4
Addai,Como,C,0,0,0,3,4
Dominguez B.,Sassuolo,C,4,5.88,5.88,3,5
Fadera,Cagliari,C,3,6,6,3,4
Unai Gomez,Udinese,C,4,5.5,5.75,3,6
Liberali,Como,C,1,6,6,3,5
Akinsanmiro,Monza,C,4,6,6.25,3,8
Fini,Frosinone,C,4,6.12,6.12,3,5
El Aynaoui*,Roma,C,0,0,0,3,0
Oristanio,Torino,C,1,6,6,3,6
Almqvist,Parma,C,4,6.25,7.12,3,8
Gineitis,Torino,C,4,5.62,5.75,3,5
Berisha M.,Lecce,C,0,0,0,3,4
Zerbin,Frosinone,C,2,6.25,6.25,3,5
Basic,Venezia,C,2,5.75,5.75,3,5
Ricci S.,Como,C,1,5.5,5.5,3,3
Zalewski,Atalanta,C,3,6,6.33,3,6
Sohm,Venezia,C,4,5.62,5.38,3,5
Luis Henrique,Inter,C,3,6,6,3,5
Pobega,Bologna,C,4,6.12,6.12,3,8
Caqueret,Como,C,3,6.17,6,3,6
Adopo,Cagliari,C,5,6.3,6.7,3,9
Fofana Y.*,Milan,C,0,0,0,3,0
Odgaard,Bologna,C,5,5.6,5.5,3,7
Mkhitaryan,Inter,C,1,6,5.5,3,4
Deiola,Cagliari,C,5,6.1,5.9,3,5
El Shaarawy,Genoa,C,2,5.75,5.75,3,7
Pellegrini Lo.,Roma,C,0,0,0,3,8
De Roon,Roma,C,1,6.5,6.5,3,4
Comert,Torino,D,4,5.88,6.12,3,6
Viery,Fiorentina,D,4,5.5,5.5,3,5
Helland,Bologna,D,3,6.17,6.17,3,5
Bella-Kotchap,Venezia,D,2,5,5,3,4
Siebert,Lecce,D,5,5.4,5.3,3,4
Belghali,Torino,D,3,6,6.17,3,7
Joao Mario,Fiorentina,D,2,5.25,5.25,3,2
Fortini,Torino,D,5,6,6,3,6
Smolcic I.,Como,D,1,5.5,5.5,3,3
Veiga D.,Lecce,D,5,5.8,5.9,3,6
Ahanor*,Atalanta,D,0,0,0,3,0
Kempf,Como,D,2,6.25,6.25,3,5
Schingtienne,Venezia,D,5,5.4,5.1,3,2
Lucchesi,Monza,D,5,5.7,5.5,3,4
Gaspar K.,Lecce,D,4,5.25,5,3,4
Comuzzo,Torino,D,4,6,6.75,3,7
Pedersen*,Torino,D,1,6,6,3,0
Leite,Lazio,D,0,0,0,3,6
Oyono A.,Frosinone,D,5,6.4,6.5,3,9
Hien,Atalanta,D,0,0,0,3,6
Doig,Sassuolo,D,5,6.1,6.7,3,8
Olivera,Napoli,D,2,5.5,5.5,3,4
Birindelli,Monza,D,5,6,6.3,3,7
Gatti,Juventus,D,1,7,9.5,3,5
Cittadini,Frosinone,D,5,5.8,5.7,3,4
Patterson,Torino,D,2,6,5.75,3,5
Zanoli,Udinese,D,1,6.5,6.5,3,5
Cambiaso,Juventus,D,1,6,5.5,3,7
Parisi,Fiorentina,D,0,0,0,3,4
Valenti,Parma,D,1,6,6,3,3
Estupinan,Milan,D,4,5.88,5.75,3,4
Ismajli,Torino,D,4,5.88,5.88,3,7
Monterisi,Frosinone,D,4,6,6,3,7
Pedraza,Lazio,D,2,6,6,3,5
Angelino*,Roma,D,0,0,0,3,0
Gallo,Lecce,D,4,5.75,5.75,3,6
Gabbia,Milan,D,1,6,6,3,6
Walukiewicz,Sassuolo,D,0,0,0,3,3
Pavard,Inter,D,2,5.75,5.75,3,5
Caleta-Car,Sassuolo,D,1,6,6,3,6
Buongiorno,Napoli,D,0,0,0,3,5
Kolasinac,Atalanta,D,4,5.75,5.75,3,6
Delli Carri*,Monza,D,1,6,6,3,0
Juan Jesus,Venezia,D,2,5.75,5.5,3,4
Bijlow,Genoa,P,5,5.8,3.8,3,6
Di Gregorio*,Juventus,P,0,0,0,3,0
Muric,Sassuolo,P,5,5.6,3.8,3,5
Fatah,Lecce,A,4,5.75,5.75,2,5
Rrahmani Al.,Venezia,A,2,5.5,5.5,2,6
Ekhator,Juventus,A,0,0,0,2,2
Mutandwa*,Cagliari,A,0,0,0,2,0
Borrelli*,Cagliari,A,1,6,6,2,0
Morata*,Como,A,0,0,0,2,0
Grillitsch,Frosinone,C,0,0,0,2,4
Diallo O.,Parma,C,1,6,6,2,3
Cichella,Frosinone,C,2,5.75,5.75,2,4
Chakvetadze,Udinese,C,2,5.75,5.75,2,3
Fernandez T.,Venezia,C,1,6,6,2,3
Felici,Cagliari,C,1,6,6,2,4
Dele-Bashiru,Lazio,C,1,5.5,5.5,2,4
Prati*,Cagliari,C,0,0,0,2,0
Gelli F.,Frosinone,C,0,0,0,2,2
El Azzouzi O.,Bologna,C,1,5,4.5,2,2
Sulemana I.,Sassuolo,C,1,6,6,2,3
Ilkhan,Torino,C,3,5.67,5.67,2,4
Ciurria,Monza,C,0,0,0,2,1
Miretti*,Juventus,C,0,0,0,2,0
Messias,Genoa,C,5,6.1,6.1,2,7
Brescianini,Fiorentina,C,3,5.67,5.67,2,3
Traorè Hj.,Genoa,C,0,0,0,2,4
Gagliardini,Cagliari,C,1,5.5,5.5,2,3
Cataldi,Lazio,C,0,0,0,2,3
Tchato,Frosinone,D,0,0,0,2,2
Akpoguma,Frosinone,D,0,0,0,2,2
Halhal,Venezia,D,2,4.75,3.5,2,2
Mitaj,Genoa,D,0,0,0,2,3
Koulierakis,Roma,D,1,6,6,2,7
Alhassane,Bologna,D,2,5.75,5.75,2,2
Franjic,Venezia,D,2,5.75,5.75,2,2
Cuenca A.*,Como,D,0,0,0,2,0
Obrador,Sassuolo,D,1,6,6,2,5
Arizala,Udinese,D,0,0,0,2,3
Athekame*,Milan,D,0,0,0,2,0
Vitik,Bologna,D,0,0,0,2,4
Candè,Sassuolo,D,0,0,0,2,2
Moreno M.,Venezia,D,3,5.5,5.17,2,4
Sverko,Venezia,D,0,0,0,2,2
Ghilardi,Roma,D,3,6.17,6,2,5
Beukema,Napoli,D,0,0,0,2,4
Dodò,Fiorentina,D,1,5,5,2,8
Bertola,Udinese,D,2,5.75,5.75,2,4
Drameh,Genoa,D,0,0,0,2,2
Haps,Venezia,D,4,5.5,5.62,2,5
Tomori,Milan,D,0,0,0,2,5
Badiashile,Napoli,D,1,5,5,2,6
Zappa*,Cagliari,D,1,6,6,2,0
Pellegrini Lu.,Lazio,D,0,0,0,2,1
Martin*,Genoa,D,0,0,0,2,0
Rodriguez R.,Torino,D,1,6,6,2,5
Stankovic F.,Venezia,P,5,6,3.4,2,5
Esteban,Lecce,A,2,6,6,1,2
Enem,Bologna,A,0,0,0,1,1
Birligea,Frosinone,A,0,0,0,1,4
De Martis,Parma,A,0,0,0,1,1
Havel,Genoa,A,0,0,0,1,3
Albarracin*,Cagliari,A,0,0,0,1,0
Frigan,Parma,A,2,5.5,5.5,1,4
Giovane,Napoli,A,0,0,0,1,3
Moro L.*,Sassuolo,A,0,0,0,1,0
Kuhn*,Como,A,0,0,0,1,0
Sulemana K.,Atalanta,A,0,0,0,1,4
Adorante,Venezia,A,0,0,0,1,4
Milik,Juventus,A,0,0,0,1,4
Petagna*,Monza,A,0,0,0,1,0
Comotto,Milan,C,0,0,0,1,1
Laerke,Lecce,C,0,0,0,1,1
Colombo L.,Monza,C,1,5.5,5,1,2
Camara A.*,Udinese,C,0,0,0,1,0
Lahdo,Como,C,0,0,0,1,1
Przyborek,Lazio,C,0,0,0,1,1
Fofana Sa.,Lecce,C,0,0,0,1,1
Cremaschi,Parma,C,1,5.5,5.5,1,2
Aboukhlal,Torino,C,2,5.5,5.5,1,2
Liteta,Cagliari,C,0,0,0,1,1
Iannoni*,Sassuolo,C,0,0,0,1,0
Jovanovic,Udinese,C,0,0,0,1,1
Anjorin*,Torino,C,0,0,0,1,0
Boloca,Sassuolo,C,0,0,0,1,1
Lovric,Udinese,C,0,0,0,1,1
Bjarkason*,Venezia,C,0,0,0,1,0
Duncan,Venezia,C,0,0,0,1,1
Drobnic,Parma,D,2,5.75,5.5,1,2
Maye,Monza,D,0,0,0,1,1
Omar Fayed,Frosinone,D,0,0,0,1,1
Aurelio,Cagliari,D,0,0,0,1,1
Kofler,Cagliari,D,2,6,6,1,5
Diawara S.,Milan,D,0,0,0,1,1
Corrado*,Frosinone,D,0,0,0,1,0
Oyono J.*,Frosinone,D,0,0,0,1,0
Gelli J.*,Frosinone,D,0,0,0,1,0
Gomes,Venezia,D,0,0,0,1,1
Puczka,Genoa,D,1,6,6,1,2
Macchioni*,Sassuolo,D,0,0,0,1,0
Mlacic*,Udinese,D,0,0,0,1,0
Raterink*,Cagliari,D,0,0,0,1,0
Perez M.*,Lecce,D,0,0,0,1,0
Pieragnolo,Sassuolo,D,0,0,0,1,1
Idrissi R.,Cagliari,D,0,0,0,1,2
Otoa,Genoa,D,2,5.25,5,1,2
Jean,Lecce,D,0,0,0,1,1
Dembelè A.,Lecce,D,0,0,0,1,1
Marianucci,Napoli,D,0,0,0,1,1
Sagrado,Venezia,D,2,6,7.5,1,3
Kambwala,Como,D,0,0,0,1,2
Goglichidze,Monza,D,0,0,0,1,1
Vogliacco*,Genoa,D,0,0,0,1,0
Matturro*,Genoa,D,0,0,0,1,0
Missori*,Sassuolo,D,0,0,0,1,0
Cabal,Juventus,D,0,0,0,1,1
Terracciano F.,Milan,D,0,0,0,1,1
Casale,Bologna,D,0,0,0,1,2
Amey,Frosinone,D,0,0,0,1,1
Antov,Monza,D,0,0,0,1,1
Terzic,Frosinone,D,2,5.75,5.75,1,4
Lazzari,Lazio,D,0,0,0,1,1
Sabelli,Genoa,D,1,5,5,1,2
De Silvestri,Bologna,D,1,5.5,5.5,1,2
Goldaniga,Como,D,0,0,0,1,1
Patric,Lazio,D,0,0,0,1,1
Rugani,Juventus,D,0,0,0,1,1
Biraghi,Torino,D,0,0,0,1,1
Mrozek,Udinese,P,0,0,0,1,1
Pisseri,Frosinone,P,0,0,0,1,1
Penev,Lecce,P,0,0,0,1,1
Vismara*,Atalanta,P,0,0,0,1,0
Renzetti,Lazio,P,0,0,0,1,1
Happonen,Bologna,P,0,0,0,1,1
Pozzi,Venezia,P,0,0,0,1,1
Strajnar,Monza,P,0,0,0,1,1
Lolic,Frosinone,P,0,0,0,1,1
Desplanches,Frosinone,P,0,0,0,1,1
Mascardi,Torino,P,2,5.75,3.75,1,1
Daffara,Parma,P,0,0,0,1,5
Siviero,Torino,P,0,0,0,1,1
Pessina Mas.,Bologna,P,1,6,5,1,1
Torriani,Milan,P,0,0,0,1,1
Pizzignacco*,Monza,P,1,5,1,1,0
Grandi,Venezia,P,0,0,0,1,1
Sherri,Cagliari,P,0,0,0,1,1
Stolz,Genoa,P,0,0,0,1,1
Samooja*,Lecce,P,0,0,0,1,0
Piana*,Udinese,P,0,0,0,1,0
Montipò,Venezia,P,0,0,0,1,1
Ciocci*,Cagliari,P,0,0,0,1,0
Turati,Sassuolo,P,0,0,0,1,1
Russo A.,Sassuolo,P,0,0,0,1,1
Bleve,Lecce,P,0,0,0,1,1
Ghidotti,Parma,P,0,0,0,1,1
Vigorito,Como,P,0,0,0,1,1
Fruchtl*,Lecce,P,0,0,0,1,0
Rossi F.*,Atalanta,P,0,0,0,1,0
Satalino,Sassuolo,P,0,0,0,1,1
Padelli,Udinese,P,0,0,0,1,1
Sommariva,Genoa,P,0,0,0,1,1
Perin*,Juventus,P,0,0,0,1,0
Lezzerini,Fiorentina,P,0,0,0,1,1
Radunovic,Cagliari,P,0,0,0,1,1
