Nome,Squadra,Ruolo,QtA,QtI,Diff
Sugawara,Cagliari,D,6,6,0
Leite,Lazio,D,6,6,0
Bellanova,Atalanta,D,5,6,-1
Bernasconi,Atalanta,D,5,6,-1
Helland,Bologna,D,5,2,3
Heggem,Bologna,D,5,6,-1
Kofler,Cagliari,D,5,5,0
Kempf,Como,D,5,5,0
Valdepenas,Fiorentina,D,5,6,-1
Viery,Fiorentina,D,5,6,-1
Marcandalli,Genoa,D,5,6,-1
Pavard,Inter,D,5,6,-1
Gatti,Juventus,D,5,4,1
Provstgaard,Lazio,D,5,3,2
Pedraza,Lazio,D,5,5,0
Marusic,Lazio,D,5,6,-1
Tomori,Milan,D,5,7,-2
Buongiorno,Napoli,D,5,7,-2
Ghilardi,Roma,D,5,4,1
Kristensen T.,Atalanta,D,5,7,-2
Zanoli,Udinese,D,5,4,1
Haps,Venezia,D,5,5,0
Obrador,Sassuolo,D,5,6,-1
Cinquegrano,Sassuolo,D,5,1,4
Patterson,Torino,D,5,5,0
Rodriguez R.,Torino,D,5,5,0
Vitik,Bologna,D,4,5,-1
Parisi,Fiorentina,D,4,5,-1
Cittadini,Frosinone,D,4,3,1
Kelly L.,Juventus,D,4,5,-1
Gaspar K.,Lecce,D,4,5,-1
Siebert,Lecce,D,4,4,0
Estupinan,Milan,D,4,3,1
Lucchesi,Monza,D,4,4,0
Kouadio,Monza,D,4,3,1
Carboni A.,Monza,D,4,3,1
Bakoune,Monza,D,4,1,3
Beukema,Napoli,D,4,6,-2
Olivera,Napoli,D,4,5,-1
Troilo,Parma,D,4,3,1
Britschgi,Parma,D,4,3,1
Rensch,Roma,D,4,5,-1
Bertola,Udinese,D,4,4,0
Bella-Kotchap,Venezia,D,4,6,-2
Moreno M.,Venezia,D,4,5,-1
Terzic,Frosinone,D,4,4,0
Juan Jesus,Venezia,D,4,4,0
Ehizibue,Genoa,D,4,4,0
Kossounou,Atalanta,D,3,3,0
Smolcic I.,Como,D,3,4,-1
Pongracic,Fiorentina,D,3,4,-1
Ranieri L.,Fiorentina,D,3,3,0
Mitaj,Genoa,D,3,4,-1
Floriani Mussolini,Lazio,D,3,3,0
Valenti,Parma,D,3,4,-1
Walukiewicz,Sassuolo,D,3,4,-1
Kabasele,Udinese,D,3,4,-1
Ebosse,Udinese,D,3,2,1
Arizala,Udinese,D,3,4,-1
Sagrado,Venezia,D,3,2,1
Odenthal,Sassuolo,D,3,1,2
Lulli,Roma,D,3,1,2
Casale,Bologna,D,2,3,-1
De Silvestri,Bologna,D,2,1,1
Alhassane,Bologna,D,2,2,0
Idrissi R.,Cagliari,D,2,3,-1
Joao Mario,Fiorentina,D,2,3,-1
Akpoguma,Frosinone,D,2,3,-1
Otoa,Genoa,D,2,2,0
Puczka,Genoa,D,2,2,0
Sabelli,Genoa,D,2,2,0
Marin R.,Napoli,D,2,2,0
Candè,Sassuolo,D,2,3,-1
Palma,Udinese,D,2,2,0
Halhal,Venezia,D,2,4,-2
Schingtienne,Venezia,D,2,3,-1
Sverko,Venezia,D,2,3,-1
Franjic,Venezia,D,2,2,0
Tchato,Frosinone,D,2,3,-1
Kambwala,Como,D,2,3,-1
Drobnic,Parma,D,2,1,1
Drameh,Genoa,D,2,3,-1
Goldaniga,Como,D,1,1,0
Van Der Brempt,Sassuolo,D,1,2,-1
Amey,Frosinone,D,1,1,0
Rugani,Juventus,D,1,1,0
Cabal,Juventus,D,1,1,0
Patric,Lazio,D,1,1,0
Lazzari,Lazio,D,1,2,-1
Pellegrini Lu.,Lazio,D,1,2,-1
Jean,Lecce,D,1,2,-1
Ndaba,Lecce,D,1,1,0
Diawara S.,Milan,D,1,2,-1
Antov,Monza,D,1,1,0
Marianucci,Napoli,D,1,1,0
Mazzocchi,Venezia,D,1,1,0
Ndiaye,Parma,D,1,1,0
Carboni F.,Parma,D,1,1,0
Ziolkowski,Monza,D,1,1,0
Pieragnolo,Sassuolo,D,1,1,0
Biraghi,Torino,D,1,2,-1
Gomes,Venezia,D,1,1,0
Aurelio,Cagliari,D,1,2,-1
Omar Fayed,Frosinone,D,1,1,0
Goglichidze,Monza,D,1,2,-1
Terracciano F.,Milan,D,1,2,-1
Maye,Monza,D,1,1,0
Dembelè A.,Lecce,D,1,1,0
Paz N.,Como,C,29,30,-1
Calhanoglu,Inter,C,27,27,0
Pulisic,Milan,C,25,25,0
Rabiot,Milan,C,24,22,2
McTominay,Napoli,C,24,28,-4
Orsolini,Bologna,C,23,26,-3
Baturina,Como,C,21,19,2
Mora,Roma,C,20,19,1
Barella,Inter,C,18,17,1
Zaccagni,Lazio,C,18,16,2
Da Cunha,Como,C,17,18,-1
De Bruyne,Napoli,C,17,15,2
Zaniolo,Udinese,C,16,18,-2
McKennie,Juventus,C,15,17,-2
Moreira,Milan,C,15,12,3
Samardzic,Atalanta,C,14,12,2
Atta,Fiorentina,C,14,17,-3
Conceicao,Juventus,C,14,12,2
Konè M.,Roma,C,14,10,4
Ekkelenkamp,Udinese,C,14,10,4
Mastantuono,Fiorentina,C,14,12,2
Ederson D.S.,Atalanta,C,13,12,1
Gudmundsson A.,Lazio,C,13,13,0
Zielinski,Inter,C,13,10,3
Taylor K.,Lazio,C,13,13,0
Gonzalez N.,Juventus,C,13,11,2
Bernardeschi,Bologna,C,12,9,3
Mandragora,Torino,C,12,9,3
Frattesi,Lazio,C,12,7,5
Modric,Milan,C,12,12,0
Jones C.,Inter,C,12,12,0
Perrone,Como,C,11,10,1
Rodriguez Je.,Como,C,11,12,-1
Calò,Frosinone,C,11,7,4
Diouf,Inter,C,11,8,3
Alajbegovic,Juventus,C,11,12,-1
Cancellieri,Lazio,C,11,9,2
Saelemaekers,Milan,C,11,10,1
Lobotka,Napoli,C,11,7,4
Politano,Napoli,C,11,10,1
Cristante,Roma,C,11,8,3
Adzic,Sassuolo,C,11,5,6
Vlasic,Torino,C,11,14,-3
Schmid,Frosinone,C,11,8,3
Kessiè,Atalanta,C,11,12,-1
Goncalves P.,Fiorentina,C,11,12,-1
Romano,Cagliari,C,10,5,5
Baldanzi,Genoa,C,10,11,-1
Zhegrova,Juventus,C,10,6,4
Coulibaly L.,Lecce,C,10,6,4
Chukwueze,Milan,C,10,6,4
Rowe,Atalanta,C,9,11,-2
Adopo,Cagliari,C,9,6,3
Sucic P.,Inter,C,9,8,1
Zambo Anguissa,Napoli,C,9,11,-2
Vergara,Napoli,C,9,8,1
Pisilli,Roma,C,9,5,4
Matic,Sassuolo,C,9,5,4
Thorstvedt,Sassuolo,C,9,10,-1
Volpato,Sassuolo,C,9,7,2
Karlstrom,Udinese,C,9,6,3
Ferguson,Bologna,C,8,7,1
Pobega,Bologna,C,8,6,2
Cambiaghi,Bologna,C,8,8,0
Winks,Cagliari,C,8,6,2
Fagioli,Fiorentina,C,8,8,0
Ndour,Fiorentina,C,8,8,0
Locatelli,Juventus,C,8,8,0
Thuram K.,Juventus,C,8,10,-2
Koopmeiners,Juventus,C,8,5,3
Isaksen,Lazio,C,8,9,-1
Akinsanmiro,Monza,C,8,6,2
Colpani,Monza,C,8,8,0
Almqvist,Parma,C,8,4,4
Bakola,Sassuolo,C,8,5,3
Cacciamani,Torino,C,8,5,3
Casadei,Torino,C,8,10,-2
Pellegrini Lo.,Roma,C,8,10,-2
Pasalic,Atalanta,C,7,9,-2
Odgaard,Bologna,C,7,8,-1
Fazzini,Cagliari,C,7,7,0
Milla,Como,C,7,5,2
Frendrup,Genoa,C,7,7,0
Masini,Frosinone,C,7,2,5
Messias,Genoa,C,7,3,4
Konè I.,Sassuolo,C,7,9,-2
Njie,Fiorentina,C,7,4,3
Busio,Venezia,C,7,5,2
Sow,Genoa,C,7,7,0
Hutchinson,Milan,C,7,8,-1
Sarr P.,Juventus,C,7,7,0
Mbangula,Bologna,C,7,8,-1
Braganca,Torino,C,7,6,1
El Shaarawy,Genoa,C,7,7,0
Gaetano,Atalanta,C,6,7,-1
Zalewski,Atalanta,C,6,6,0
Caqueret,Como,C,6,6,0
Rovella,Lazio,C,6,6,0
Pierotti,Lecce,C,6,6,0
Gilmour,Napoli,C,6,3,3
Keita M.,Parma,C,6,5,1
Bernabè,Parma,C,6,7,-1
Fitz-Jim,Torino,C,6,4,2
Oristanio,Torino,C,6,7,-1
Piotrowski,Udinese,C,6,5,1
Unai Gomez,Udinese,C,6,7,-1
Cissè A.,Milan,C,6,3,3
Elmas,Atalanta,C,6,7,-1
Monteiro J.,Lecce,C,6,7,-1
Moro N.,Bologna,C,5,4,1
Dominguez B.,Sassuolo,C,5,3,2
Deiola,Cagliari,C,5,3,2
Liberali,Como,C,5,6,-1
Oulai,Fiorentina,C,5,6,-1
Fini,Frosinone,C,5,3,2
Zerbin,Frosinone,C,5,5,0
Ellertsson,Genoa,C,5,6,-1
Luis Henrique,Inter,C,5,4,1
Belahyane,Lazio,C,5,1,4
Pessina,Monza,C,5,7,-2
Gineitis,Torino,C,5,5,0
Basic,Venezia,C,5,6,-1
Sohm,Venezia,C,5,5,0
Perez K.,Venezia,C,5,5,0
De Roon,Roma,C,4,4,0
Amondarain,Bologna,C,4,5,-1
Felici,Cagliari,C,4,5,-1
Fadera,Cagliari,C,4,2,2
Addai,Como,C,4,5,-1
Fabbian,Parma,C,4,4,0
Cichella,Frosinone,C,4,4,0
Amorim,Genoa,C,4,4,0
Meichtry,Genoa,C,4,5,-1
Traorè Hj.,Genoa,C,4,5,-1
Mkhitaryan,Inter,C,4,5,-1
Douglas Luiz,Juventus,C,4,4,0
Dele-Bashiru,Lazio,C,4,5,-1
Maleh,Lecce,C,4,2,2
Ngom,Lecce,C,4,4,0
Berisha M.,Lecce,C,4,5,-1
Gandelman,Lecce,C,4,5,-1
Jashari,Milan,C,4,4,0
Musah,Milan,C,4,2,2
Loftus-Cheek,Milan,C,4,4,0
Nicolussi Caviglia,Parma,C,4,6,-2
Ilkhan,Torino,C,4,4,0
Ilic,Lecce,C,4,1,3
Miller L.,Udinese,C,4,3,1
Grillitsch,Frosinone,C,4,5,-1
Tourè I.,Monza,C,4,6,-2
Sulemana I.,Sassuolo,C,3,3,0
Brescianini,Fiorentina,C,3,3,0
Hasa,Frosinone,C,3,2,1
Cataldi,Lazio,C,3,4,-1
Gorter,Lecce,C,3,1,2
Ricci S.,Como,C,3,4,-1
Folorunsho,Monza,C,3,4,-1
Ordonez C.,Parma,C,3,2,1
Diallo O.,Parma,C,3,3,0
Lipani,Sassuolo,C,3,2,1
Chakvetadze,Udinese,C,3,2,1
Massolin,Cagliari,C,3,4,-1
Gagliardini,Cagliari,C,3,3,0
Fernandez T.,Venezia,C,3,3,0
El Azzouzi O.,Bologna,C,2,2,0
Gelli F.,Frosinone,C,2,3,-1
Stankovic A.,Inter,C,2,3,-1
Kaba,Lecce,C,2,1,1
Colombo L.,Monza,C,2,3,-1
Cremaschi,Parma,C,2,1,1
Aboukhlal,Torino,C,2,3,-1
Helgason,Venezia,C,2,3,-1
Forson O.,Monza,C,2,1,1
Foe Ondoa,Monza,C,2,1,1
Sierro,Parma,C,2,1,1
Liteta,Cagliari,C,1,1,0
Lahdo,Como,C,1,1,0
El Azzouzi A.,Frosinone,C,1,1,0
Kone B.,Frosinone,C,1,1,0
Venturino,Genoa,C,1,2,-1
Przyborek,Lazio,C,1,1,0
Fofana Sa.,Lecce,C,1,1,0
Ciurria,Monza,C,1,2,-1
Boloca,Sassuolo,C,1,2,-1
Zarraga,Udinese,C,1,1,0
Dagasso,Venezia,C,1,1,0
Duncan,Venezia,C,1,2,-1
Laerke,Lecce,C,1,1,0
Comotto,Milan,C,1,1,0
Mout,Monza,C,1,1,0
Ciervo,Cagliari,C,1,1,0
Jovanovic,Udinese,C,1,2,-1
Libra,Bologna,C,1,1,0
Lovric,Udinese,C,1,1,0
Malen,Roma,A,37,34,3
Martinez L.,Inter,A,36,35,1
Thuram,Inter,A,31,29,2
Hojlund,Napoli,A,27,28,-1
Ramos G.,Milan,A,25,27,-2
Kean,Como,A,23,25,-2
Kolo Muani,Juventus,A,23,26,-3
Douvikas,Como,A,22,20,2
Woltemade,Juventus,A,22,23,-1
Yildiz,Juventus,A,20,23,-3
Scamacca,Atalanta,A,19,19,0
Davis K.,Udinese,A,19,19,0
Esposito F.P.,Inter,A,18,16,2
Berardi,Sassuolo,A,18,18,0
Dybala,Roma,A,17,14,3
Krstovic,Atalanta,A,16,18,-2
Pellegrino M.,Fiorentina,A,16,15,1
Soulè,Roma,A,16,12,4
Laurientè,Sassuolo,A,16,15,1
De Ketelaere,Atalanta,A,15,17,-2
Dovbyk,Bologna,A,15,16,-1
Raspadori,Atalanta,A,14,13,1
Esposito Se.,Sassuolo,A,14,13,1
Diao,Como,A,14,11,3
Santos A.,Napoli,A,13,14,-1
Castro S.,Roma,A,13,14,-1
Simeone,Torino,A,13,15,-2
Romero D.,Parma,A,13,10,3
Beto,Fiorentina,A,13,14,-1
Raimondo,Frosinone,A,12,7,5
Bowie,Sassuolo,A,12,10,2
Adams A.,Venezia,A,12,12,0
Maldini,Cagliari,A,11,5,6
Ghedjemis,Frosinone,A,11,9,2
Kvernadze,Frosinone,A,11,4,7
Adams C.,Torino,A,11,9,2
Colombo,Genoa,A,10,11,-1
Noslin,Lazio,A,10,6,4
Varela G.,Monza,A,10,3,7
Pinamonti,Lazio,A,10,13,-3
Tourè E.,Parma,A,10,11,-1
Kevin Carlos,Cagliari,A,10,13,-3
Osmajic,Genoa,A,10,8,2
Piccoli,Bologna,A,9,8,1
Mendy P.,Cagliari,A,8,4,4
Bonny,Inter,A,8,7,1
Cutrone,Monza,A,8,9,-1
Yeboah J.,Venezia,A,8,8,0
Robinson J.,Monza,A,8,4,4
Bobcek,Frosinone,A,8,9,-1
Vitinha O.,Genoa,A,7,8,-1
Geubbels,Lecce,A,7,9,-2
Gueye,Udinese,A,7,4,3
Zeballos,Monza,A,7,6,1
Gnonto,Fiorentina,A,7,7,0
Boga,Juventus,A,6,6,0
Stulic,Lecce,A,6,7,-1
Mota,Monza,A,6,5,1
Kulenovic,Torino,A,6,4,2
Rrahmani Al.,Venezia,A,6,8,-2
Lontani,Parma,A,6,1,5
Neres,Napoli,A,5,6,-1
Elphege,Parma,A,5,3,2
Zapata D.,Torino,A,5,7,-2
Fatah,Lecce,A,5,4,1
Sulemana K.,Atalanta,A,4,6,-2
N'Dri,Lecce,A,4,3,1
Camarda,Milan,A,4,5,-1
Lang,Napoli,A,4,3,1
Frigan,Parma,A,4,5,-1
Adorante,Venezia,A,4,5,-1
Milik,Juventus,A,4,5,-1
Birligea,Frosinone,A,4,5,-1
Ngonge,Monza,A,4,5,-1
Havel,Genoa,A,3,4,-1
Giovane,Napoli,A,3,4,-1
Lucca,Napoli,A,3,3,0
Nzola,Cagliari,A,3,4,-1
Ekhator,Juventus,A,2,3,-1
Bayo V.,Udinese,A,2,1,1
Lauberbach,Venezia,A,2,1,1
Esteban,Lecce,A,2,1,1
Trepy,Cagliari,A,1,1,0
Lisman,Venezia,A,1,1,0
De Martis,Parma,A,1,1,0
Robinho Junior,Genoa,A,1,1,0
Enem,Bologna,A,1,2,-1
